run,r_value,epoch,checkpoint,val2026_strict_competition_score,val2026_strict_latest_window_return,val2026_strict_market_equal_period_return,val2026_strict_max_drawdown,val2026_strict_period_excess_equal,val2026_strict_period_return,val2026_strict_recent_return_mean,val2026_strict_recent_return_min,val2026_strict_rolling_excess_equal_mean,val2026_strict_rolling_return_mean,val2026_strict_rolling_win_rate,val2026_strict_turnover_mean,selection_score,selection_score_weight_sum
r020_topk005_open,0.2,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_11.pt,0.0244385369722856,0.0248729040090625,0.1189947128295898,-0.1875549416501978,0.0745858588820662,0.1935805717116561,0.1079085327810936,0.0248729040090625,0.011462859010905,0.0213668527985498,0.5569620253164557,0.6045454545454544,0.0244385369722856,0.5
r020_topk005_open,0.2,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_12.pt,0.0217423070977344,0.0134257473441428,0.1189947128295898,-0.0880881533193824,0.0941711787188208,0.2131658915484107,0.0420262675222986,0.0134257473441428,0.0118693244711549,0.0217733182587997,0.7215189873417721,0.6045454545454544,0.0217423070977344,0.5
r020_topk005_open,0.2,19,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_19.pt,0.01213442210663614,0.07553807556893966,0.11899471282958984,-0.08308955337107626,0.007653922488582765,0.1266486353181726,0.06442749482888988,0.019356176437472117,0.0006506876708170413,0.010554681458461826,0.6329113924050633,0.6045454545454544,0.01213442210663614,0.5
r020_topk005_open,0.2,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_13.pt,0.0120183723938154,-0.0206156181018849,0.1189947128295898,-0.1169774185067927,0.0545343197025314,0.1735290325321212,0.0360979261470182,-0.0206156181018849,0.0104941871123841,0.0203981809000289,0.6582278481012658,0.6045454545454544,0.0120183723938154,0.5
r020_topk005_open,0.2,20,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_20.pt,0.007321697309547894,0.01990847577444721,0.11899471282958984,-0.056118004568049384,-0.004860730371273547,0.1141339824583163,0.04142982195226837,0.01990847577444721,-4.461031785371085e-05,0.009859383469791073,0.620253164556962,0.6045454545454544,0.007321697309547894,0.5
r020_topk005_open,0.2,14,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_14.pt,0.004695900823781424,-0.008131264212722145,0.11899471282958984,-0.0833717406460045,0.02402459194663975,0.1430193047762296,0.014179197500380903,-0.008131264212722145,0.006810910493505478,0.016714904281150262,0.6455696202531646,0.6045454545454544,0.004695900823781424,0.5
r020_topk005_open,0.2,8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_8.pt,0.0018593966488845,-0.0012433927196764,0.1189947128295898,-0.1347340699053116,-0.1219018744525016,-0.0029071616229118,0.0792999434535892,-0.0012433927196764,0.0079239812255889,0.0178279750132337,0.6455696202531646,0.6045454545454544,0.0018593966488845,0.5
r020_topk005_open,0.2,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_5.pt,0.0009819166715923,0.004117085610624,0.1189947128295898,-0.1015300383840516,-0.0572945607414845,0.0617001520881053,0.0637573194925716,0.004117085610624,-0.0018588432234554,0.0080451505641893,0.5063291139240507,0.6045454545454544,0.0009819166715923,0.5
r020_topk005_open,0.2,15,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_15.pt,-0.0028399017323286636,0.02268594634052512,0.11899471282958984,-0.10348366615527771,-0.0054977115315626435,0.1134970012980272,0.019276322933003565,0.004032957178037533,-0.0008734674173331222,0.009030526370311662,0.6835443037974683,0.6045454545454544,-0.0028399017323286636,0.5
r020_topk005_open,0.2,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_6.pt,-0.0083897555620601,-0.0180657771232836,0.1189947128295898,-0.0984149679204503,-0.0750367135759051,0.0439579992536847,0.0206846737121783,-0.0180657771232836,0.0024190992030968,0.0123230929907416,0.5569620253164557,0.6045454545454544,-0.0083897555620601,0.5
r020_topk005_open,0.2,18,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_18.pt,-0.013171906603717153,-0.03137841035889155,0.11899471282958984,-0.08387240975830346,-0.07708100186786315,0.04191371096172669,0.009503752498725681,-0.03137841035889155,-0.004616644647299181,0.005287349140345603,0.620253164556962,0.6045454545454544,-0.013171906603717153,0.5
r020_topk005_open,0.2,10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_10.pt,-0.0159799495276071,0.0020896461566133,0.1189947128295898,-0.2176432667868372,-0.1353061876307537,-0.0163114748011639,0.0783713143866524,0.0020896461566133,-0.0033554478744938,0.0065485459131508,0.4683544303797468,0.6045454545454544,-0.0159799495276071,0.5
r020_topk005_open,0.2,17,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_17.pt,-0.021588462094239577,0.0008155221493226783,0.11899471282958984,-0.07795018086516547,-0.11315379096629408,0.005840921863295767,0.009442879288135276,0.0008155221493226783,-0.011878237563761704,-0.001974243776116919,0.4810126582278481,0.6045454545454544,-0.021588462094239577,0.5
r020_topk005_open,0.2,7,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_7.pt,-0.0222158177531907,-0.0578672299332917,0.1189947128295898,-0.1211476317745887,-0.1429500293763412,-0.0239553165467514,0.0158446880476307,-0.0578672299332917,-0.0038079653988218,0.0060960283888229,0.5443037974683544,0.6045454545454544,-0.0222158177531907,0.5
r020_topk005_open,0.2,9,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_9.pt,-0.0227295242407286,-0.0240071307443505,0.1189947128295898,-0.2149611701123249,-0.1451981602551015,-0.0262034474255117,0.0556644612212124,-0.0240071307443505,-0.0042253680658738,0.0056786257217709,0.4810126582278481,0.6045454545454544,-0.0227295242407286,0.5
