epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_secondary_return_loss,train_direction_loss,train_combined_topk_loss,train_consistency_loss,train_context_score_topk_loss,train_trend_adjusted_topk_loss,train_cluster_topk_loss,train_cluster_rank_loss,train_in_cluster_rank_loss,train_gate_entropy,train_rank_aux_y_score_top20_loss,train_topk_aux_final_score_k10_loss,train_topk_aux_final_score_k40_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,return_pred_open_mse,return_pred_open_mae,return_pred_open_bias,return_pred_open_pearson,return_pred_open_spearman,return_pred_open_direction_accuracy,return_pred_vwap_mse,return_pred_vwap_mae,return_pred_vwap_bias,return_pred_vwap_pearson,return_pred_vwap_spearman,return_pred_vwap_direction_accuracy,return_pred_blend_mse,return_pred_blend_mae,return_pred_blend_bias,return_pred_blend_pearson,return_pred_blend_spearman,return_pred_blend_direction_accuracy,direction_pred_bce,direction_pred_accuracy,direction_pred_up_rate,direction_label_up_rate,top10_return_mean,top20_return_mean,top40_return_mean,competition_rolling_excess_equal_mean,competition_sharpe,competition_rolling_return_mean,competition_score,competition_recent_return_mean,competition_period_excess_equal,competition_market_equal_period_return,competition_rolling_win_rate,competition_max_drawdown,competition_latest_window_return,competition_recent_return_min,competition_rolling_return_min,competition_period_return,competition_turnover_mean
1,cluster_inrank020_seed2051,1,all,0.22493570010721017,0.2008768099986714,0.0018955971125951569,0.0019002081898275133,0.0018841374974934632,0.6896750158320601,0.0,0.0,0.0018792922165812985,0.0,0.000825265938866372,0.45501207363402024,0.27327469095649126,1.0805685171455128,0.20080358881926522,0.0014072494073386543,0.0011732179407792833,-0.03195787050011559,0.12419306182024621,-0.25732412126508786,0.4843817651630942,-0.0012115383597828642,77,0.005247409921139479,0.058736786246299744,-0.015110238455235958,-0.033548501100301054,-0.04017041708132854,0.4877751057647666,0.004958589095622301,0.057592377066612244,-0.014959881082177162,-0.04130486884704534,-0.05530506769394487,0.48051893854428035,0.005247409921139479,0.058736786246299744,-0.015110238455235958,-0.033548501100301054,-0.04017041708132854,0.4877751057647666,0.6967440350157592,0.5101721970380649,0.004269714500336465,0.4895695856525073,-0.00195132039241255,-0.0012115383597828642,0.00020973765111359006,-0.008829421695261509,0.5121153747495707,-0.0034894135205896615,-0.006848095432027128,0.12282459048963754,-0.05405067277662656,0.09432899951934814,0.45588235294117646,-0.2769140847022106,0.03680674325169808,0.03680674325169808,-0.15326753942325044,0.04027832674272158,0.5064935064935064
2,cluster_inrank020_seed2051,2,all,0.22089889752577163,0.19453579062851406,0.002183645694428481,0.0014290572623045278,0.0014079851175100926,0.6883277689940512,0.0,0.0,0.0017787480819751106,0.0,0.0008930941725935263,0.4575532173991133,0.2725052572019385,1.0849190147011472,0.19279805517340493,0.001691762472481235,0.0014483111918333254,-0.0327901084759501,0.12118396608093654,-0.27058124549290774,0.4847938695559184,-0.002140137984934444,77,0.0042748707346618176,0.0506666861474514,-0.007469147443771362,-0.02439189591446886,-0.023335327477032073,0.4925273475604985,0.003986230120062828,0.04940541088581085,-0.0073187933303415775,-0.03003261056079551,-0.03827823986953813,0.4852190152269965,0.0042748707346618176,0.0506666861474514,-0.007469147443771362,-0.02439189591446886,-0.023335327477032073,0.4925273475604985,0.697177677051462,0.5104591051596513,0.0008894151769179808,0.4895695856525073,-0.0022889867817299657,-0.002140137984934444,-0.0001820406932538744,-0.01028547823900388,0.515585744759737,-0.004945470064332034,-0.016452627381524483,0.09328681644573555,-0.05391384943159783,0.09432899951934814,0.5147058823529411,-0.2971258343830513,0.020976397078350972,0.020976397078350972,-0.1493426284652346,0.04041515008775032,0.5064935064935064
3,cluster_inrank020_seed2051,3,all,0.21939022574198813,0.1924229907973715,0.002269384571205986,0.0012968924656985058,0.0012744787062316577,0.6881269652609127,0.0,0.0,0.0012936590655852496,0.0,0.0008933233901535824,0.4564046505323363,0.2721651451790452,1.080048003429662,0.19048526987494827,0.0017095529073048322,0.0015337012354007704,-0.0345303198527204,0.11967345500616755,-0.28853783699100877,0.48472083839769636,-0.0027567154974313815,77,0.008404633961617947,0.06559646129608154,-0.0229165181517601,-0.0024041686947777253,0.01393990218955299,0.5074622194168984,0.008104912005364895,0.06471490114927292,-0.02276616543531418,-0.0022878436568728013,0.006435547907030601,0.5021361613779937,0.008404633961617947,0.06559646129608154,-0.0229165181517601,-0.0024041686947777253,0.01393990218955299,0.5074622194168984,0.6968286654996872,0.5104564969040005,0.0007146620483153277,0.4895695856525073,-0.0029053108996481866,-0.0027567154974313815,-0.0006305758203319334,-0.014072751673468383,0.3085481740514548,-0.008732743498796536,-0.021628615090588433,0.10168467268689785,-0.08395980682938764,0.09432899951934814,0.45588235294117646,-0.31312203784807546,0.09356797805814132,0.044612945556718575,-0.15602636865846065,0.010369192689960505,0.5064935064935064
4,cluster_inrank020_seed2051,4,all,0.2172613807588272,0.1896002627404877,0.0020620852062742325,0.0011658957980755715,0.001141184782173557,0.6878966699283638,0.0,0.0,0.0008685112597108087,0.0,0.0008870653634144869,0.4545083288202011,0.27188530075788636,1.0730977594466544,0.18735150301312614,0.0014692426956474688,0.0014342583134250191,-0.03664940069557912,0.1168740857701301,-0.31358021287680293,0.48684917500873764,-0.0007145566533281099,77,0.005961850751191378,0.05286421254277229,-0.02838451974093914,0.008896086428766456,0.013946657726101687,0.5037115477910683,0.0056522986851632595,0.051554806530475616,-0.028234167024493217,0.013492407923867727,0.015156646732693402,0.5049269949243345,0.005961850751191378,0.05286421254277229,-0.02838451974093914,0.008896086428766456,0.013946657726101687,0.5037115477910683,0.6966647952514415,0.5104304143474927,0.0005633832205697473,0.4895695856525073,0.0003853378947461387,-0.0007145566533281099,-0.0008923000309846134,-0.007140993435930607,0.44470789668405664,-0.0018009852612587598,-0.023620612246508046,0.053514673477563335,-0.06391354823415552,0.09432899951934814,0.5147058823529411,-0.2766702932268017,0.06240263395866297,0.0003322329599293461,-0.14972519954969976,0.03041545128519263,0.5064935064935064
5,cluster_inrank020_seed2051,5,all,0.2154814754165994,0.18726194661336482,0.0019768981541600614,0.0011007466629679792,0.0010746279681715927,0.6877882910378194,0.0,0.0,0.0008270657309764046,0.0,0.0008656920631499531,0.45166756125882906,0.27177942460463145,1.07134592540128,0.18481675420107738,0.0013509955260055189,0.0013678362449848166,-0.03719103577134626,0.11620012267049137,-0.3200602109242936,0.4870787015060068,-0.00021588666659935572,77,0.008139438927173615,0.05606051906943321,-0.03007398545742035,0.008803705984414,0.015283936863176462,0.5034663717598944,0.007830898277461529,0.05483667925000191,-0.02992362529039383,0.012477743971767166,0.009842723688727123,0.5003625475354593,0.008139438927173615,0.05606051906943321,-0.03007398545742035,0.008803705984414,0.015283936863176462,0.5034663717598944,0.6957360128696495,0.5104434556257467,0.0005764244988236767,0.4895695856525073,0.0007059129182545638,-0.00021588666659935572,-4.205827763025927e-05,0.0001066864478348993,1.5952343892734993,0.005446694622506746,0.012562195278783377,0.07491117478857354,0.10745570495136092,0.09432899951934814,0.5147058823529411,-0.17956496379763975,0.10533601734897258,0.03347221405516265,-0.14066918000068407,0.20178470447070906,0.5064935064935064
6,cluster_inrank020_seed2051,6,all,0.21432410796699697,0.18567678266988213,0.0019894339389411246,0.0010675405140973303,0.001040760000868634,0.687671254774344,0.0,0.0,0.0006057603762368877,0.0,0.0008560946542268482,0.4499239023553406,0.2717427708353275,1.069902714734361,0.18319630432542877,0.0013818289950164391,0.0013673964269139808,-0.03783642509761801,0.1155724290845917,-0.3273827970676652,0.48725084637895866,-0.00025180022855132044,77,0.00595450634136796,0.04997062683105469,-0.017146576195955276,0.009617859696936503,0.008026899159522018,0.4987115217085118,0.0056448327377438545,0.04856869950890541,-0.016996221616864204,0.015109221019297738,0.008087013413543136,0.5005164346188556,0.00595450634136796,0.04997062683105469,-0.017146576195955276,0.009617859696936503,0.008026899159522018,0.4987115217085118,0.6964538298412286,0.5104591051596513,0.0004981768293001007,0.4895695856525073,-6.281230908625021e-05,-0.00025180022855132044,0.0005028813595061648,-0.015159604290812121,0.07590907374430705,-0.009819596116140274,-0.026691903691222287,0.09596418924987497,-0.11597587421345124,0.09432899951934814,0.4852941176470588,-0.31440113495299093,0.053591112949757935,0.03425945578563816,-0.18634791389737304,-0.02164687469410309,0.5064935064935064
7,cluster_inrank020_seed2051,7,all,0.2131980340259085,0.18406946735216492,0.0019175150956760648,0.0009990037864829474,0.0009711579269065734,0.6876808042172616,0.0,0.0,0.0006195557404331027,0.0,0.0008545519036041808,0.4486480093988129,0.2718892119838042,1.0675300307102664,0.1814746424915371,0.00128616477464084,0.00131874279291282,-0.037556065592911664,0.11405770121272253,-0.32927251026099486,0.4877620644865127,0.00015917065471725224,77,0.006710913963615894,0.04958663880825043,-0.024110814556479454,0.01044993501397886,0.010083163653001683,0.5000156495339048,0.006396278273314238,0.04809904098510742,-0.02396046370267868,0.01664018818140867,0.009127088843577899,0.5002138769633644,0.006710913963615894,0.04958663880825043,-0.024110814556479454,0.01044993501397886,0.010083163653001683,0.5000156495339048,0.6954507333111503,0.5104799712048577,0.0005399089197126746,0.4895695856525073,0.00159974639642645,0.00015917065471725224,0.00024174324194477364,-0.020524405742014654,-0.04617502221198034,-0.015184397567342807,-0.03598103439133314,0.08935258123206913,-0.13422625806179167,0.09432899951934814,0.45588235294117646,-0.3400654536090423,0.05365040557564127,0.014769335210122359,-0.1807380318804489,-0.039897258542443526,0.5064935064935064
8,cluster_inrank020_seed2051,8,all,0.2118186456989442,0.18240151169319024,0.001818348769995583,0.0009721202963306456,0.0009436742461540283,0.6875878398807137,0.0,0.0,0.000541237451680263,0.0,0.0008402517340628899,0.44504928150339784,0.2719889563048426,1.0651489957561908,0.17967749554104775,0.0011451809874392076,0.001265118064281677,-0.03671863821481557,0.11527479739907348,-0.31853136195675236,0.4882002514358447,-0.00023362024796086473,77,0.00850584451109171,0.05413932725787163,-0.028717856854200363,0.011789971779001849,0.020509961976708554,0.5048565720217633,0.00819139089435339,0.05277206376194954,-0.02856750600039959,0.017329557281060486,0.018172192440794616,0.5038184862727505,0.00850584451109171,0.05413932725787163,-0.028717856854200363,0.011789971779001849,0.020509961976708554,0.5048565720217633,0.6967879082387641,0.5104564969040005,0.00046948601714145614,0.4895695856525073,0.0015424232213310414,-0.00023362024796086473,0.0008582542013902947,-0.007195870258036452,0.9532464115127836,-0.001855862083364605,-0.002814554882008033,0.09248517542847129,0.0016320462316627982,0.09432899951934814,0.5147058823529411,-0.23127974640330762,0.06123438201540088,-0.006791601392491686,-0.16485188416734575,0.09596104575101094,0.5064935064935064
9,cluster_inrank020_seed2051,9,all,0.2107183985223554,0.1811548505348974,0.0016667776727349196,0.0009515074713746542,0.0009226599266451661,0.6876265428710363,0.0,0.0,0.0005244662276761203,0.0,0.0008067328267655966,0.44230998843785524,0.2719740193159598,1.0669926363556015,0.17823895577422447,0.0009380045258593562,0.0011397755024486,-0.03650865118819103,0.11418140733914532,-0.3197425223508749,0.48882623279203335,0.0010755406556554234,77,0.0063779279589653015,0.047244735062122345,-0.02018267661333084,0.012777778946239646,0.016994606053462535,0.5029812362088483,0.006063403096050024,0.0456899031996727,-0.02003232017159462,0.019722817076738047,0.018253610554867086,0.5039775898674485,0.0063779279589653015,0.047244735062122345,-0.02018267661333084,0.012777778946239646,0.016994606053462535,0.5029812362088483,0.6964650087475616,0.5104591051596513,0.0004094961371733812,0.4895695856525073,0.00413738133827304,0.0010755406556554234,0.0003324369074060134,-0.0010566334006991912,0.7049576014981682,0.0042833747739726554,-0.0006454382157312748,0.102671623756547,-0.03056165641652142,0.09432899951934814,0.5,-0.23515621239260587,0.06185319196967787,0.03303902114746782,-0.16542935225118716,0.06376734310282672,0.5064935064935064
10,cluster_inrank020_seed2051,10,all,0.2096812170549236,0.17970241503181564,0.0016407636060377254,0.0009166257453341258,0.0008872875816606998,0.6876024240742998,0.0,0.0,0.000480132320670155,0.0,0.0007938195281421328,0.43996060352384375,0.27229563926092804,1.0683209122876127,0.17696883899322532,0.0009636826243272392,0.0010693253934689812,-0.03619078095564453,0.11406984233989886,-0.3172686155540155,0.48836196328619347,0.001548762569914938,77,0.007020230405032635,0.05069442465901375,-0.016856536269187927,0.011981718228043541,0.020524301271990786,0.5079708292688017,0.006709686946123838,0.04937394708395004,-0.016706177964806557,0.017745953126728758,0.017963929145171805,0.5055660175587771,0.007020230405032635,0.05069442465901375,-0.016856536269187927,0.011981718228043541,0.020524301271990786,0.5079708292688017,0.6965022323055216,0.5104617134153021,0.0004381869493320257,0.4895695856525073,0.0049900102373152105,0.001548762569914938,0.000918601935520744,0.0040663442200923865,1.122403436179951,0.009406352394764233,0.010600161387133381,0.11117942352550117,0.023591537649007677,0.09432899951934814,0.5294117647058824,-0.2292404632368158,0.04543622842289219,0.02513030083891188,-0.1495598727478431,0.11792053716835582,0.5064935064935064
