wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period,rolling_10d_return_mean,rolling_10d_win_rate,rolling_10d_return_min,rolling_10d_turnover_mean,latest_10d_return,recent5_10d_return_mean,recent5_10d_return_min,selection_score_competition
0.25,1.5,0.5,0.75,0.0,10.0,3.0,0.1392555973184233,0.020260884488833453,-0.06052751300327863,0.6045454545454544,0.028366148745402997,0.07043427256284684,-0.008629514906108415,0.6666666666666666,-0.013262631055567575,0.008350370767857718,-0.03009925789713863,0.6666666666666666,-0.005777457870096758,-0.019161919272989825,-0.021437880320436253,0.6444444444444444,0.02510423388491695,0.009981398746737506,0.6455696202531646,-0.07635830524880016,0.6399999999999999,0.019147159176149176,0.052798452038173724,0.019147159176149176,0.026846587388860012
0.5,1.0,0.25,0.5,0.0,10.0,3.0,0.146334039257757,0.027339326428167166,-0.0652812502391702,0.6045454545454544,0.015220271267706087,0.057288395085149935,-0.00736241556608952,0.6666666666666666,-0.03616727535043085,-0.014554273527005557,-0.0527560921616026,0.6666666666666666,0.00014765979572395338,-0.013236801607169113,-0.02250229668681536,0.6444444444444444,0.02245613439383651,0.010772471964806523,0.6329113924050633,-0.05582456392082891,0.6399999999999999,0.03048208902360683,0.04949113641223888,0.02616003019916069,0.024278420062064526
0.25,1.0,0.25,0.5,0.0,10.0,3.0,0.09917254443060997,-0.019822168398979878,-0.06246551315814153,0.6045454545454544,0.028366147779325557,0.0704342715967694,-0.00862951583743099,0.6666666666666666,-0.030659720466455043,-0.00904671864302975,-0.047059106037393605,0.6666666666666666,0.020929897906061257,0.00754543650316819,-0.021437880320436253,0.6444444444444444,0.008463399798672172,0.01025236248364379,0.6329113924050633,-0.07194445798694915,0.6399999999999999,0.01790517506769107,0.06296010947362603,0.01790517506769107,0.02365956808317934
0.5,1.5,0.5,0.75,0.0,10.0,3.0,0.11990799298208743,0.0009132801524975864,-0.055320237920862936,0.6045454545454544,0.018274508246278964,0.06034263206372281,-0.005426522414684443,0.6666666666666666,-0.007694258726198444,0.013918743097226849,-0.031109361048340833,0.6666666666666666,0.005283010999364457,-0.00810145040352861,-0.02779164470976947,0.6444444444444444,0.016369227988609354,0.009141850596160848,0.6075949367088608,-0.05532273806670651,0.6399999999999999,0.010626315190792157,0.04874615954067245,0.010626315190792157,0.022573563401251214
0.5,1.5,0.25,0.75,0.0,10.0,3.0,0.09716253624025994,-0.0218321765893299,-0.05641437633015112,0.6045454545454544,0.027749709181937865,0.06981783299938171,-0.00922378345906738,0.6666666666666666,-0.03611063672618098,-0.014497634902755685,-0.04762924309462724,0.6666666666666666,0.026295078911856562,0.012910617508963496,-0.018414460511007036,0.6444444444444444,0.007391926175578144,0.008570105415901377,0.6329113924050633,-0.07668385836018698,0.6399999999999999,0.010371424028566834,0.05020086089268818,0.010371424028566834,0.02011853123107648
0.25,2.0,0.25,0.5,0.0,10.0,5.0,0.20388751975379238,0.08489280692420254,-0.12332598078463286,1.0,-0.03437399806548991,0.00769412575195394,-0.03445481977709253,1.0,-0.07620094928811671,-0.05458794746469142,-0.055563662977788364,1.0,-0.059813725723547595,-0.07319818712644066,-0.06560417930397033,1.0,0.020957374365209815,0.011393687752696419,0.6455696202531646,-0.10884457706578943,1.0,0.08080903830835862,0.05774568012556323,0.041758445246361964,0.019841006545644958
0.25,2.0,0.25,0.25,0.5,10.0,5.0,0.2372962673708603,0.11830155454127045,-0.10049586872848804,1.0,-0.035479853839917586,0.006588269977526262,-0.021842253597861183,1.0,-0.06316204415608595,-0.04154904233266066,-0.05192221299636124,1.0,-0.0791486207032277,-0.09253308210612077,-0.07974281197432853,1.0,0.03477044837213606,0.020787284251920723,0.7468354430379747,-0.10567843878851202,1.0,0.0019289692172281825,0.013601245350530356,0.0019289692172281825,0.018673112903189223
0.5,2.0,0.5,0.75,0.0,10.0,3.0,0.08774695024838164,-0.031247762581208205,-0.08712043193120211,0.6045454545454544,-0.0014550565993903808,0.04061306721805347,-0.008374307095831757,0.6666666666666666,-0.008213496198764214,0.013399505624661079,-0.029157134825732345,0.6666666666666666,0.015619649846926764,0.0022351884440336978,-0.027026266520407294,0.6444444444444444,-0.0015630222467261097,0.010894399530091173,0.6455696202531646,-0.06913284340650505,0.6399999999999999,0.016213582234610335,0.058452770750507456,0.006863727277475196,0.0180809917363123
0.5,1.5,0.25,0.75,0.5,10.0,3.0,0.13403321886733743,0.01503850603774759,-0.05149042885120392,0.6045454545454544,0.010059122561523193,0.05212724637896704,-0.010293907556235826,0.6666666666666666,-0.04124657086979322,-0.019633569046367927,-0.056987914936649675,0.6666666666666666,-0.006949717172863856,-0.020334178575756923,-0.016513449533489988,0.6444444444444444,0.013803977168409446,0.012989797862949277,0.7088607594936709,-0.0640417853799351,0.6399999999999999,-0.00843279237971728,0.028459284531930674,-0.00843279237971728,0.017315567949266215
0.0,2.0,0.25,0.25,0.5,10.0,5.0,0.19907883978639296,0.08008412695680311,-0.1426222444245583,1.0,-0.03720693659924523,0.004861187218198615,-0.02359375249888962,1.0,-0.05864191011741238,-0.037028908293987084,-0.04327980843418622,1.0,-0.052017076059406864,-0.06540153746229993,-0.06186138011804543,1.0,0.021888587071668006,0.017187547115619133,0.7215189873417721,-0.1275794368996046,1.0,0.038823821435651995,0.030335335333649693,0.011687906569063822,0.01714222225172537
