score_variant,top_n,daily_replace_k,cap_min_pct,cap_bonus,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,val_excess_equal,hold_excess_equal
y_score,10,0,0.0,0.0,0.08454660500244304,1.2309974069042706,-0.11475609969418077,0.1056818181818182,-0.05684336201892404,-8.368787762838291,-0.05550981550932732,0.25000000000000006,-0.030156573403318676,-0.014896712467532436
y_score,10,0,0.0,0.25,0.0768049482600146,1.4404066277253529,-0.07923423066024371,0.10681818181818183,-0.03799303800058762,-6.589782862201808,-0.044606812864456,0.25000000000000006,-0.037898230145747114,0.0039536115508039815
y_score,10,0,0.0,0.5,0.014447232823124878,0.40022488095575376,-0.061615803134295266,0.0715909090909091,-0.0045168298447170185,-1.4942524832965514,-0.010936386327146996,0.20000000000000004,-0.10025594558263684,0.03742981970667458
y_score,10,0,0.0,1.0,0.025957218157393935,0.6491043785094374,-0.058901491212124624,0.02727272727272728,0.0023079832263050992,2.3620120326738587,-0.0024792022033780503,0.20000000000000004,-0.08874596024836778,0.0442546327776967
y_score,10,0,0.2,0.0,0.07538441635210069,1.2302292765529192,-0.09485868873734626,0.1056818181818182,-0.020933515534072966,-3.046768815984706,-0.039991729069314474,0.25000000000000006,-0.03931876205366103,0.021013134017318635
y_score,10,0,0.2,0.25,0.0666953880961969,1.268618878324269,-0.07417924464975689,0.10795454545454546,-0.020271788606290198,-3.6391446473148577,-0.036730438652949005,0.25000000000000006,-0.04800779030956481,0.021674860945101404
y_score,10,0,0.2,0.5,0.019995241980007794,0.5266133311353958,-0.05917404241311719,0.07045454545454546,-0.0045168298447170185,-1.4942524832965514,-0.010936386327146996,0.20000000000000004,-0.09470793642575392,0.03742981970667458
y_score,10,0,0.2,1.0,0.025957218157393935,0.6491043785094374,-0.058901491212124624,0.02727272727272728,0.0023079832263050992,2.3620120326738587,-0.0024792022033780503,0.20000000000000004,-0.08874596024836778,0.0442546327776967
y_score,10,0,0.5,0.0,0.0668196562074761,1.2270624934833434,-0.07689467359117241,0.10227272727272728,-0.021005468734411226,-5.366564538371794,-0.026821286790752352,0.25000000000000006,-0.04788352219828562,0.020941180816980376
y_score,10,0,0.5,0.25,0.05668459097686318,1.2039632538132745,-0.05467074724223209,0.10340909090909091,-0.017601593940472227,-5.733602479924747,-0.01851805525593342,0.25000000000000006,-0.05801858742889854,0.024345055610919375
