score_variant,top_n,daily_replace_k,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,val_day_count,val_final_nav,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,hold_day_count,hold_final_nav,val_excess_equal,hold_excess_equal
y_score,5,0,0.0721463153577564,1.0741757498897035,-0.11698250953119094,0.19999999999999998,88.0,1072146.3153577563,-0.06573758549060316,-10.984668360431817,-0.05784648958310035,0.3333333333333333,6.0,934262.4145093969,-0.04255686304800532,-0.023790935939211555
y_score,5,1,-0.01620099735882996,-0.04870957540346715,-0.17111206404598223,0.4068181818181818,88.0,983799.00264117,-0.06432248911083671,-9.763303270634708,-0.06103707106559797,0.49999999999999994,6.0,935677.5108891632,-0.13090417576459168,-0.02237583955944511
y_score,5,2,-0.023840451787565664,-0.11681157333847633,-0.1444128803372431,0.8022727272727272,88.0,976159.5482124343,-0.06217690692191802,-9.232548007199947,-0.05999736609928463,0.8333333333333334,6.0,937823.093078082,-0.13854363019332738,-0.020230257370526417
y_score,5,3,0.042969590780714606,0.5773195348442407,-0.15715109105179426,1.1977272727272725,88.0,1042969.5907807145,-0.06439895400529205,-10.382921751991478,-0.05917244254110887,1.1666666666666667,6.0,935601.045994708,-0.07173358762504711,-0.02245230445390045
y_score,5,5,-0.030361272501991943,-0.2521360441527876,-0.1598694083355029,1.9886363636363635,88.0,969638.727498008,-0.0465187625152812,-5.673796670202595,-0.06045311380248242,1.8333333333333333,6.0,953481.2374847188,-0.14506445090775366,-0.004572112963889596
y_score,10,0,0.08454660500244304,1.2309974069042706,-0.11475609969418077,0.1056818181818182,88.0,1084546.605002443,-0.05684336201892404,-8.368787762838291,-0.05550981550932732,0.25000000000000006,6.0,943156.6379810759,-0.030156573403318676,-0.014896712467532436
y_score,10,1,0.04561181771421485,0.6447266665130393,-0.14383330446978448,0.20909090909090908,88.0,1045611.8177142149,-0.054066158897760896,-7.40157693929521,-0.0579446929660179,0.3333333333333333,6.0,945933.8411022391,-0.06909136069154687,-0.012119509346369295
y_score,10,2,0.0739354357770512,0.9528613560880264,-0.14214902408142038,0.4068181818181818,88.0,1073935.4357770511,-0.05906337452776267,-8.637164793271607,-0.0585716592066966,0.49999999999999994,6.0,940936.6254722374,-0.040767742628710524,-0.017116724976371067
y_score,10,3,0.03562032750309996,0.5453349238677883,-0.13461468826322942,0.6045454545454544,88.0,1035620.3275031,-0.0645914067027733,-9.86902188989853,-0.06118875587101891,0.6666666666666666,6.0,935408.5932972267,-0.07908285090266176,-0.0226447571513817
y_score,10,5,-0.009401367448663378,0.0011825540301840585,-0.1511589716520627,1.0,88.0,990598.6325513367,-0.05669437213064077,-7.500075746358006,-0.062460468976147876,1.0,6.0,943305.6278693592,-0.1241045458544251,-0.014747722579249167
y_score,10,10,0.004735647396697296,0.17304058569619407,-0.09359729340125622,1.9886363636363635,88.0,1004735.6473966972,-0.05118213780882719,-6.684627264568918,-0.058500421486647136,1.8333333333333333,6.0,948817.8621911728,-0.10996753100906442,-0.009235488257435587
y_score,20,0,0.08166855957692887,1.2408003647522992,-0.10490575317072803,0.058522727272727275,88.0,1081668.5595769288,-0.04493918730801483,-5.889901666155706,-0.05729596154778982,0.20833333333333337,6.0,955060.8126919852,-0.03303461882883285,-0.002992537756623226
y_score,20,1,0.03638629368696522,0.5683278332142006,-0.12777388847611826,0.11022727272727272,88.0,1036386.2936869651,-0.042753373123760374,-5.680144732517466,-0.052686007357385045,0.25000000000000006,6.0,957246.6268762397,-0.0783168847187965,-0.0008067235723687727
y_score,20,2,0.07903369998159393,1.0551455135389316,-0.13774338110919082,0.20909090909090908,88.0,1079033.699981594,-0.04592403970018921,-6.101019944960829,-0.05546981362903225,0.3333333333333333,6.0,954075.9602998107,-0.03566947842416779,-0.0039773901487976104
y_score,20,3,0.08326646941467963,1.105093744597214,-0.1312620293553357,0.30795454545454537,88.0,1083266.4694146796,-0.05161811799878391,-6.793387561575918,-0.0614534304546932,0.4166666666666667,6.0,948381.882001216,-0.031436708991082085,-0.009671468447392306
y_score,20,5,0.05051139853507092,0.7312727600985169,-0.12322392768087664,0.5056818181818182,88.0,1050511.398535071,-0.04571425936016604,-5.380753917070883,-0.06383404212598554,0.5833333333333334,6.0,954285.740639834,-0.0641917798706908,-0.0037676098087744414
y_score,20,10,0.08577089858654396,1.1313027506829816,-0.1087138605112109,1.0,88.0,1085770.898586544,-0.04193326238963857,-4.919765974346927,-0.06069060558182815,1.0,6.0,958066.7376103614,-0.028932279819217754,1.338716175303123e-05
