strategy,score_variant,top_n,daily_replace_k,cap_min_pct,cap_bonus,val_period_return,val_excess_equal_no_st,val_sharpe,val_max_drawdown,val_turnover_mean,hold_period_return,hold_excess_equal_no_st,hold_sharpe,hold_max_drawdown,hold_turnover_mean,rolling_10d_return_mean,rolling_10d_excess_mean,rolling_10d_win_rate,rolling_10d_return_min,latest_10d,latest_5_10d_mean,latest_5_10d_min
ret_top10_k5,return_pred,10,5,0.0,0.0,0.16403825989268705,0.04504354706309721,1.8226526871753672,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-7.596627486751422,-0.054037482597119824,1.0,0.012634206206786742,0.002730212419141958,0.620253164556962,-0.11315005495906749,0.055754724211051876,0.04819816218181501,0.031115210726790465
ret_bonus50_top20_k5,return_pred,20,5,0.0,0.5,0.13753884935548188,0.01854413652589204,2.6345443802545807,-0.048035306562323354,0.5056818181818182,-0.04889524931225819,-0.006827125494814346,-7.767849878667709,-0.051707280594499694,0.5833333333333334,0.011004890869010006,0.0011008970813652218,0.7088607594936709,-0.06360548550939149,0.03669702194162672,0.04579182044880063,0.030654497447641038
zy_dir_top20_k3,z_y_plus_direction,20,3,0.0,0.0,0.21807518453791164,0.0990804717083218,2.585335362004112,-0.11092133285250716,0.30795454545454537,-0.05608376171875884,-0.014015637901314992,-9.134819362007415,-0.05561021004677136,0.4166666666666667,0.018614186463132412,0.008710192675487628,0.759493670886076,-0.09419491244952294,-0.004474419895898363,0.02936033390804571,-0.004474419895898363
ret_cap50_bonus50_top20_k5,return_pred,20,5,0.5,0.5,0.14088059652913976,0.021885883699549913,2.6721432626454367,-0.048111296552179605,0.5056818181818182,-0.003835667669975895,0.03823245614746795,-0.5212875660409154,-0.015364809641241983,0.5833333333333334,0.010857059147835621,0.0009530653601908367,0.7468354430379747,-0.06796145408687349,0.026943672415074005,0.02830381226615013,0.011836235079069946
ret_cap50_bonus25_top10_k3,return_pred,10,3,0.5,0.25,0.1276941930710791,0.008699480241489255,1.6424909910058318,-0.11547941292445296,0.6045454545454544,-0.027050430630549238,0.01501769318689461,-3.4883050510529054,-0.01941370677734089,0.6666666666666666,0.007818813786534675,-0.0020851800011101092,0.6075949367088608,-0.09130326157113622,0.04791441486746595,0.020844844877743962,-0.008838607238147111
y_cap20_top20_k2,y_score,20,2,0.2,0.0,0.14804088742419408,0.029046174594604235,2.0130614298126215,-0.10818924856023981,0.20909090909090908,-0.030194034941580683,0.011874088875863165,-6.55704471715301,-0.02815567019726528,0.3333333333333333,0.011640674725511505,0.001736680937866721,0.6582278481012658,-0.09401839877644613,-0.0016330905399527529,0.014438040954391763,-0.01771082281701508
ret_cap50_bonus25_top10_k5,return_pred,10,5,0.5,0.25,0.17454330488528425,0.0555485920556944,2.0401966313738233,-0.11625674481577908,1.0,-0.030691626119429327,0.01137649769801452,-3.9147779079702736,-0.01955634082561508,1.0,0.015567963207559708,0.005663969419914924,0.6708860759493671,-0.10286749816264029,0.01855585541877036,0.007789448178945202,-0.01048211152340861
zyret_cap50_top20_k0,z_y_plus_return,20,0,0.5,0.0,0.12712472391703256,0.008130011087442712,1.9568953126482747,-0.1058046926293379,0.05738636363636363,-0.021037936739069507,0.02103018707837434,-2.9102487566134103,-0.017187735065817833,0.18333333333333335,0.0035523212838794484,-0.006351672503765336,0.5316455696202531,-0.06553322693366326,-0.014237176469600543,0.007444921526132164,-0.025828157537703955
baseline_y_top20_k3,y_score,20,3,0.0,0.0,0.09778574814817587,-0.021208964681413978,1.2794778564351044,-0.13005883767618542,0.30795454545454537,-0.05161811799878391,-0.00954999418134006,-6.793387561575918,-0.0614534304546932,0.4166666666666667,0.012372160016666762,0.0024681662290219775,0.6962025316455697,-0.1025068729483466,-0.0072920181807984985,0.0054431576944979024,-0.014201274388678131
