epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_direction_loss,train_gate_entropy,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,return_pred_open_mse,return_pred_open_mae,return_pred_open_bias,return_pred_open_pearson,return_pred_open_spearman,return_pred_open_direction_accuracy,return_pred_vwap_mse,return_pred_vwap_mae,return_pred_vwap_bias,return_pred_vwap_pearson,return_pred_vwap_spearman,return_pred_vwap_direction_accuracy,return_pred_blend_mse,return_pred_blend_mae,return_pred_blend_bias,return_pred_blend_pearson,return_pred_blend_spearman,return_pred_blend_direction_accuracy,direction_pred_bce,direction_pred_accuracy,direction_pred_up_rate,direction_label_up_rate,top20_return_mean,competition_rolling_excess_equal_mean,competition_rolling_return_min,competition_latest_window_return,competition_turnover_mean,competition_max_drawdown,competition_market_equal_period_return,competition_score,competition_period_return,competition_sharpe,competition_recent_return_min,competition_recent_return_mean,competition_rolling_return_mean,competition_rolling_win_rate,competition_period_excess_equal,train_topk_aux_final_score_k10_loss,train_topk_aux_final_score_k40_loss,train_strategy_window_portfolio_return,train_strategy_window_equal_return,train_strategy_window_excess_return,train_strategy_window_downside,train_strategy_window_loss,train_strategy_window_weighted_loss,train_strategy_window_sampled_windows,train_strategy_window_sampled_days,train_strategy_window_skipped_no_grad_days,top10_return_mean,top40_return_mean
1,score_rank,1,encoder_and_score,0.3672278070883764,0.368284804173387,-0.000696876842182194,0.0062395113365690145,0.6933666727618202,1.0569970778056554,0.06901557865690379,0.11659930654258994,0.591903851775436,0.5205859128171958,0.0022670544268694657,243,0.0027826963923871517,0.04014826938509941,-0.019146569073200226,0.029559123520123343,0.059322120156823074,0.5214942919085344,0.0025266073644161224,0.039050277322530746,-0.01907537132501602,0.03265602879036811,0.04834277101965451,0.5127775060759269,0.0027826963923871517,0.04014826938509941,-0.019146569073200226,0.029559123520123343,0.059322120156823074,0.5214942919085344,0.6941737458293902,0.48638469273288426,0.7507902648996174,0.4869792077506159,0.0022670544268694657,0.001674456930560354,-0.14678004612356765,0.021384888596346574,0.5020576131687243,-0.1739869976940921,0.377971887588501,0.0025436988594229916,0.45299436728538756,1.8828416445418934,0.008550971835275645,0.02171124293230453,0.017246922568370564,0.7478632478632479,0.07502247969688658,,,,,,,,,,,,,
2,score_rank,2,encoder_and_score,0.36619010184901757,0.36726876595927466,-0.0008041105159802331,0.006341531466894814,0.6945970508750978,1.0786640517167994,0.07335898869798388,0.11099425622004926,0.6609259901931106,0.5203451176284497,0.0015841125932937955,243,0.0034315648954361677,0.0466448999941349,0.023282470181584358,0.03183624975038687,0.06329430455516953,0.5145909429456559,0.003187119495123625,0.04528249055147171,0.023353660479187965,0.033212406081721324,0.04732908937868163,0.5147055282423695,0.0034315648954361677,0.0466448999941349,0.023282470181584358,0.03183624975038687,0.06329430455516953,0.5145909429456559,0.6940840074415994,0.4870240454754169,0.5939412609198542,0.4869792077506159,0.0015841125932937955,0.0016756454178570978,-0.11164636638911474,0.02576390097580261,0.5020576131687243,-0.14001903987923825,0.377971887588501,0.0020200162058827548,0.39678442284229676,1.7405708060876883,0.022785491190004725,0.029536333323026565,0.017248111055667308,0.7222222222222222,0.01881253525379578,,,,,,,,,,,,,
3,score_rank,3,encoder_and_score,0.36601628670161895,0.3671024703308121,-0.0008311542865982659,0.005735754775562052,0.6948408259713388,1.0861838050596007,0.07441050564141441,0.11232673312106609,0.6624469845590056,0.5203185471248639,0.001635034456938326,243,0.0032472049351781607,0.04512964189052582,0.020011940971016884,0.030481261335890724,0.06258624999418834,0.5157940885611491,0.0030005103908479214,0.04379313066601753,0.020083129405975342,0.032338562388586546,0.04746762783826442,0.5161793608631428,0.0032472049351781607,0.04512964189052582,0.020011940971016884,0.030481261335890724,0.06258624999418834,0.5157940885611491,0.6940268901710865,0.4894901203394714,0.5687026038263185,0.4869792077506159,0.001635034456938326,0.002511960652078588,-0.10020557178973644,0.026852933938584567,0.5020576131687243,-0.12970410135881305,0.377971887588501,0.012370297150734339,0.4842705388953594,2.021198183393996,0.02010659809088744,0.03066090244151116,0.018084426289888798,0.7051282051282052,0.10629865130685845,,,,,,,,,,,,,
4,score_rank,4,encoder_and_score,0.3659782933664846,0.36706819194931906,-0.0008571285651404461,0.005943475928378885,0.6948360425348465,1.0898988886357663,0.07444424820599106,0.11137003025640606,0.6684405852687554,0.5189933432585235,0.0017070168495042764,243,0.004457497037947178,0.05418313667178154,0.03554817661643028,0.03000269064618001,0.057879612152762556,0.5105887608430488,0.004220991861075163,0.05290870741009712,0.03561937063932419,0.028908748737740204,0.03898619677879683,0.5135895670917671,0.004457497037947178,0.05418313667178154,0.03554817661643028,0.03000269064618001,0.057879612152762556,0.5105887608430488,0.6941096005220151,0.48953578839250944,0.486906138865755,0.4869792077506159,0.0017070168495042764,0.001603022948331789,-0.1266082312774296,0.02315704777555161,0.5020576131687243,-0.1441906743967547,0.377971887588501,0.006822247529204437,0.4335069010560546,1.8112390152430962,0.02315704777555161,0.035713750399832246,0.017175488586142,0.7264957264957265,0.05553501346755363,,,,,,,,,,,,,
5,score_rank,5,encoder_and_score,0.36571510883232394,0.36680668287470447,-0.0008921963253744632,0.00768283992862792,0.694874652753492,1.0915741224537838,0.07460148637265589,0.1100833463901719,0.6776818548760634,0.5182410658757514,0.0018822478577145195,243,0.0061118812300264835,0.0647110790014267,0.04987705126404762,0.030476161360755635,0.057233116429534936,0.506109970332372,0.0058786398731172085,0.06352794170379639,0.04994826018810272,0.02953652401616109,0.03803260490719813,0.5110570659687481,0.0061118812300264835,0.0647110790014267,0.04987705126404762,0.030476161360755635,0.057233116429534936,0.506109970332372,0.6941130027591259,0.4897749229247814,0.44071663969483776,0.4869792077506159,0.0018822478577145195,0.003438751596196948,-0.11488347078058125,0.01282740247601244,0.5020576131687243,-0.13238278643362822,0.377971887588501,0.021677292914165404,0.5725683997790403,2.2421089336552975,0.01282740247601244,0.030918514410868035,0.019011217234007158,0.7222222222222222,0.1945965121905393,,,,,,,,,,,,,
6,score_rank,6,encoder_and_score,0.3657035257176056,0.3667955393237727,-0.0009319153901994899,0.007454685190328586,0.6947233342453019,1.0920134348037478,0.07283629825612023,0.10857847537425398,0.6708171026077153,0.5176083557591151,0.0020521841327352697,243,0.008878049440681934,0.08098538964986801,0.07280676066875458,0.029697987571397348,0.05571231216814421,0.4976588895356223,0.008641501888632774,0.07991375774145126,0.0728779137134552,0.030958251257052472,0.03896791694578538,0.5063706933988075,0.008878049440681934,0.08098538964986801,0.07280676066875458,0.029697987571397348,0.05571231216814421,0.4976588895356223,0.6944859243987619,0.49039351746138765,0.46595778777308455,0.4869792077506159,0.0020521841327352697,0.0015830639042604417,-0.1288173465650806,0.019523820318314122,0.5020576131687243,-0.13644347082215014,0.377971887588501,0.004405929921265834,0.43963399278445614,1.8356489540305765,0.008872197188792175,0.020542671743832352,0.01715552954207065,0.7264957264957265,0.061662105195955164,,,,,,,,,,,,,
7,score_rank,7,encoder_and_score,0.36552339389019617,0.36661465302273466,-0.0009797874685428614,0.012114426558152876,0.6954324938520625,1.0912589017342735,0.07175015831664254,0.10757734370891105,0.6669634687280274,0.516900916101144,0.002045226997133908,243,0.015185277909040451,0.11051353812217712,0.10671515017747879,0.029472872313371794,0.05314420858140941,0.4911814989583532,0.014952464960515499,0.10972659289836884,0.1067863255739212,0.03122476677093747,0.03653821304851246,0.501507460914374,0.015185277909040451,0.11051353812217712,0.10671515017747879,0.029472872313371794,0.05314420858140941,0.4911814989583532,0.6948054178794857,0.490474059300382,0.4935554073880946,0.4869792077506159,0.002045226997133908,0.002194528904287953,-0.11688487832088457,0.015432471729496466,0.5020576131687243,-0.1343692527469177,0.377971887588501,0.005564822290068621,0.4377332990528289,1.851300992415425,0.01421777693018611,0.02342172813966057,0.017766994542098163,0.7350427350427351,0.059761411464327896,,,,,,,,,,,,,
8,score_rank,8,encoder_and_score,0.36542857585700006,0.366520304273773,-0.001021871056184534,0.01012351707050674,0.6952394984744408,1.0917286730402118,0.06911336447533548,0.10441370085440131,0.6619185404768858,0.5153199711377905,0.001970564874364032,243,0.009872738271951675,0.08774226158857346,0.081672802567482,0.029250251041916076,0.05789145315289693,0.4946290217986072,0.009623163379728794,0.08673989027738571,0.08174402266740799,0.03573688938474875,0.04736850858751461,0.5042674719743462,0.009872738271951675,0.08774226158857346,0.081672802567482,0.029250251041916076,0.05789145315289693,0.4946290217986072,0.6943754634549515,0.4893863293098395,0.39122077348396594,0.4869792077506159,0.001970564874364032,0.002531098537190019,-0.10743290895711799,0.021599243342839358,0.5020576131687243,-0.11966726450765697,0.377971887588501,0.013273316534480778,0.49161931656094615,2.034833877610582,0.018111962760633427,0.02556722911315292,0.01810356417500023,0.7478632478632479,0.11364742897244517,,,,,,,,,,,,,
9,score_rank,9,encoder_and_score,0.3652245649597147,0.36631546718078656,-0.001077066923978866,0.010478641700311717,0.6950895208660718,1.0909022462892008,0.06969578203416472,0.10602708430435424,0.6573394193704383,0.5139881246455537,0.0016605194950561444,243,0.00995220523327589,0.08618251979351044,0.07795717567205429,0.029095692685280304,0.056368798508348014,0.4981080971118693,0.009698898531496525,0.08517038077116013,0.0780283734202385,0.03648053102946872,0.04734851629105584,0.506228707270271,0.00995220523327589,0.08618251979351044,0.07795717567205429,0.029095692685280304,0.056368798508348014,0.4981080971118693,0.6947497843314443,0.4898114573672118,0.4255017050790348,0.4869792077506159,0.0016605194950561444,0.0018258202019143435,-0.13257804356972136,0.028664883368941574,0.5020576131687243,-0.14818006717629306,0.377971887588501,0.004125144939313976,0.42128308867297815,1.7052751608999206,0.020618349684597526,0.029211066438032996,0.017398285839724553,0.7692307692307693,0.04331120108447717,,,,,,,,,,,,,
10,score_rank,10,encoder_and_score,0.3652306829712221,0.36632196662517696,-0.001123063936075186,0.009097788287173178,0.6953526680859236,1.0912837150332693,0.06935083627982173,0.1053942072221702,0.6580137382088818,0.5134318047267266,0.0016238063984285128,243,0.010250293649733067,0.08742887526750565,0.07897570729255676,0.028971935584103107,0.057996829330835165,0.49802838560111196,0.009996529668569565,0.08641018718481064,0.07904688268899918,0.03648363743746374,0.04991110539359103,0.50675347471609,0.010250293649733067,0.08742887526750565,0.07897570729255676,0.028971935584103107,0.057996829330835165,0.49802838560111196,0.6945208055210789,0.48990030248857674,0.35336693948484776,0.4869792077506159,0.0016238063984285128,0.0025651629304019753,-0.13756825470886191,0.031341624839430704,0.5020576131687243,-0.15701148671744458,0.377971887588501,0.007987262595731667,0.4729185877958273,1.8614022383921311,0.017422805855594525,0.027107932424933125,0.018137628568212185,0.7393162393162394,0.09494670020732632,,,,,,,,,,,,,
