run,r_value,epoch,checkpoint,val2026_strict_competition_score,val2026_strict_latest_window_return,hold2026_recent_market_equal_period_return,same_calendar_2025_market_equal_period_return,same_comp_2025_market_equal_period_return,val2026_strict_market_equal_period_return,hold2026_recent_max_drawdown,same_calendar_2025_max_drawdown,same_comp_2025_max_drawdown,val2026_strict_max_drawdown,hold2026_recent_period_excess_equal,same_calendar_2025_period_excess_equal,same_comp_2025_period_excess_equal,val2026_strict_period_excess_equal,hold2026_recent_period_return,same_calendar_2025_period_return,same_comp_2025_period_return,val2026_strict_period_return,val2026_strict_recent_return_mean,val2026_strict_recent_return_min,val2026_strict_rolling_excess_equal_mean,val2026_strict_rolling_return_mean,val2026_strict_rolling_win_rate,hold2026_recent_turnover_mean,same_calendar_2025_turnover_mean,same_comp_2025_turnover_mean,val2026_strict_turnover_mean,selection_score,selection_score_weight_sum
r010_topk005_open,0.1,15,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_15.pt,0.0006434318005865,-0.0004284994666459,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0409500636863708,-0.0493687831765053,-0.0256762477510634,-0.0764533240795252,0.0137904045080843,-0.0221316346428963,0.0123358908071609,-0.0447325865477055,-0.0282777193093595,-0.0443624386094185,0.0257203522100539,0.0742621262818843,0.0412949388300548,-0.0004284994666459,-0.0002582431282048,0.0096457506594399,0.569620253164557,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.0006434318005865,0.5
r010_topk005_open,0.1,18,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_18.pt,-6.0418342125887967e-05,0.0222249746094505,-0.0420681238174438,-0.0222308039665222,0.013384461402893066,0.1189947128295898,-0.0472978327197575,-0.0402431896512679,-0.040326563717518304,-0.1500119820793423,-0.002294833942626,-0.0151011330361715,-0.04756328029859713,-0.0551905289127048,-0.0443629577600699,-0.0373319370026937,-0.034178818895704066,0.063804183916885,0.0831694700659932,0.0222249746094505,-0.0029946070016689,0.0069093867859757,0.4430379746835443,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-6.0418342125887967e-05,0.5
r010_topk005_open,0.1,20,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_20.pt,-0.0073296921127012,0.0055864029139771,-0.0420681238174438,-0.0222308039665222,0.013384461402893066,0.1189947128295898,-0.0424217521140853,-0.0202157776334216,-0.02809150969970864,-0.0752136970459065,-0.0148352767245241,0.0035612450922949,-0.04345442681362732,-0.1085387678371749,-0.0569034005419679,-0.0186695588742272,-0.030069965410734256,0.0104559449924148,0.0490470159464993,0.0055864029139771,-0.0071329159378318,0.0027710778498129,0.5822784810126582,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0073296921127012,0.5
r010_topk005_open,0.1,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_6.pt,-0.0114452855229252,-0.0470944160708592,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0227002744334936,-0.0640590393384605,-0.0699097977379001,-0.1591660106950024,0.062060797542681,-0.0659574533927731,-0.0742466429712653,-0.1089014129731942,0.0199926737252371,-0.0881882573592953,-0.0608621815683723,0.0100932998563956,0.0489751154750543,-0.0470944160708592,0.0023579086721969,0.0122619024598417,0.4936708860759494,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0114452855229252,0.5
r010_topk005_open,0.1,19,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_19.pt,-0.0115159201607341,0.0307462338816519,-0.0420681238174438,-0.0222308039665222,0.013384461402893066,0.1189947128295898,-0.0277542160696835,-0.0252802949354549,-0.037790473615754494,-0.1024341554415466,0.0175050955433642,-0.0022473973972381,-0.05212247281945692,-0.1138214868717935,-0.0245630282740796,-0.0244782013637603,-0.038738011416563856,0.0051732259577963,0.0599359429231598,0.0159216531910026,-0.0114825873275811,-0.0015785935399363,0.4556962025316455,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0115159201607341,0.5
r010_topk005_open,0.1,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_12.pt,-0.0134045360571399,-0.0425073096792117,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0354209207701683,-0.0544263782851189,-0.0257395897763966,-0.1504979473665449,0.036297813248141,-0.007699068941793,0.04766030448877,-0.0937968804632198,-0.0057703105693027,-0.0299298729083152,0.061044765891663,0.0251978323663699,0.0419062946823958,-0.0425073096792117,-0.0018532556240417,0.008050738163603,0.4683544303797468,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0134045360571399,0.5
r010_topk005_open,0.1,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_5.pt,-0.0179742361736114,0.0085636612464254,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.02108691639781,-0.023701804620513,-0.0123269540805019,-0.1341865367424348,0.0588654609672478,-0.0062444918512897,-0.0048044329012926,-0.1155238478459592,0.016797337149804,-0.0284752958178119,0.0085800285016004,0.0034708649836305,0.0346644957744714,-0.0065192882001622,-0.0056552782333989,0.0042487155542458,0.4556962025316455,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0179742361736114,0.5
r010_topk005_open,0.1,14,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_14.pt,-0.0199281378900082,-0.0292996837290687,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0268857480415859,-0.0381059908681884,-0.0254048986638305,-0.1135218443754606,0.0214292772657354,-0.0030559579739218,-0.0105527773463722,-0.0994050470848582,-0.0206388465517084,-0.0252867619404441,0.0028316840565207,0.0195896657447316,0.006017612327848,-0.0292996837290687,-0.0044854711732453,0.0054185226143994,0.5443037974683544,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0199281378900082,0.5
r010_topk005_open,0.1,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_13.pt,-0.0205791093607435,-0.0437498971888561,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0258515991005197,-0.043396973796292,-0.0188095701277014,-0.0946625902963853,0.0233901701305364,-0.0078074151831742,-0.0053225025773555,-0.1099017087863443,-0.0186779536869073,-0.0300382191496965,0.0080619588255375,0.0090930040432455,-0.0042997897909582,-0.0437498971888561,-0.0027299483682883,0.0071740454193564,0.5569620253164557,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0205791093607435,0.5
r010_topk005_open,0.1,3,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_3.pt,-0.0208877112235344,-0.0113934107946683,-0.0420681238174438,-0.0222308039665222,0.013384461402893,0.1189947128295898,-0.0229128074923778,-0.0258290612433236,-0.0062892689141631,-0.1247520251471663,0.021038987663504,-0.0056375323518498,-0.0001069413438115,-0.074646233544666,-0.0210291361539397,-0.027868336318372,0.0132775200590815,0.0443484792849238,0.0077867310151032,-0.0184897533046624,-0.0085734478428172,0.0013305459448275,0.4936708860759494,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.0208877112235344,0.5
