run,r_value,epoch,checkpoint,window,window_start,window_end,start_date,end_date,day_count,top_n,daily_replace_k,score_variant,score_weight_y,score_weight_return,score_weight_direction,score_weight_cap,cap_min_pct,cap_bonus,exclude_st,exclude_bj,period_return,period_excess_equal,market_equal_period_return,sharpe,max_drawdown,turnover_mean,rolling_return_mean,rolling_excess_equal_mean,rolling_return_median,rolling_win_rate,rolling_return_min,market_equal_rolling_mean,market_equal_rolling_win_rate,competition_score,recent_window_count,latest_window_return,recent_return_mean,recent_return_min,recent_win_rate
r010_topk005_open,0.1,1,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_1.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.0316590713734453,-0.1506537842030352,0.1189947128295898,-0.3014820436614743,-0.1294534503462654,0.6045454545454544,-0.0127060770956092,-0.022610070883254,-0.0187344633211371,0.2911392405063291,-0.0619096299141347,0.0099039937876447,0.6582278481012658,-0.0441775765465279,5,0.0027894343742567,-0.0141073034221379,-0.0370117957908573,0.2
r010_topk005_open,0.1,2,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_2.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.0278161421260199,-0.1468108549556097,0.1189947128295898,-0.2560663466711369,-0.1497196897068562,0.6045454545454544,-0.0069891453323963,-0.0168931391200411,-0.012347821678177,0.3924050632911392,-0.0797394935871574,0.0099039937876447,0.6582278481012658,-0.0387009147331351,5,-0.0194229290705179,-0.0022592149137611,-0.024468672309814,0.6
r010_topk005_open,0.1,3,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_3.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.0443484792849238,-0.074646233544666,0.1189947128295898,0.6679143520974063,-0.1247520251471663,0.6045454545454544,0.0013305459448275,-0.0085734478428172,-0.0011404332363436,0.4936708860759494,-0.0718857352919528,0.0099039937876447,0.6582278481012658,-0.0208877112235344,5,-0.0113934107946683,0.0077867310151032,-0.0184897533046624,0.6
r010_topk005_open,0.1,4,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_4.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.0277354781938644,-0.1467301910234543,0.1189947128295898,-0.2696151096983141,-0.1560788151632145,0.6045454545454544,-0.0048006696949769,-0.0147046634826216,0.0010046146865403,0.5189873417721519,-0.0991792097345546,0.0099039937876447,0.6582278481012658,-0.038558766225998,5,-0.0332386719821822,-0.0090571738170951,-0.0441178378856456,0.6
r010_topk005_open,0.1,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_5.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.0034708649836305,-0.1155238478459592,0.1189947128295898,0.1730136357338619,-0.1341865367424348,0.6045454545454544,0.0042487155542458,-0.0056552782333989,-0.0065192882001622,0.4556962025316455,-0.0821601899621481,0.0099039937876447,0.6582278481012658,-0.0179742361736114,5,0.0085636612464254,0.0346644957744714,-0.0065192882001622,0.8
r010_topk005_open,0.1,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_6.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.0100932998563956,-0.1089014129731942,0.1189947128295898,0.2652682412076471,-0.1591660106950024,0.6045454545454544,0.0122619024598417,0.0023579086721969,-0.0008861402948908,0.4936708860759494,-0.0866119094990686,0.0099039937876447,0.6582278481012658,-0.0114452855229252,5,-0.0470944160708592,0.0489751154750543,-0.0470944160708592,0.8
r010_topk005_open,0.1,7,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_7.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.1247333816265581,-0.2437280944561479,0.1189947128295898,-0.732756340968613,-0.2673782452447768,0.6045454545454544,-0.0061051026046022,-0.016009096392247,-0.0147451712855357,0.4177215189873418,-0.121988754361919,0.0099039937876447,0.6582278481012658,-0.032448337095131,5,0.0302129927197711,0.1056238614246433,0.0302129927197711,1.0
r010_topk005_open,0.1,8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_8.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.2174087764223304,-0.3364034892519203,0.1189947128295898,-1.3749122088616272,-0.3441076579536204,0.6045454545454544,-0.0278071625327754,-0.0377111563204202,-0.0432973368154588,0.2784810126582278,-0.1491996140008139,0.0099039937876447,0.6582278481012658,-0.069352875207335,5,-0.0251510854958468,0.0790817840728193,-0.0251510854958468,0.8
r010_topk005_open,0.1,9,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_9.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.1954339794007868,-0.3144286922303767,0.1189947128295898,-1.208313191011661,-0.2976700641179699,0.6045454545454544,-0.0157387729880058,-0.0256427667756506,-0.030485867997167,0.2911392405063291,-0.134543654504128,0.0099039937876447,0.6582278481012658,-0.05353297025911,5,-0.0220986304539652,0.0879396614104245,-0.0220986304539652,0.8
r010_topk005_open,0.1,10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r010_topk005_open/checkpoints/msgca_epoch_10.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.109590725029612,-0.2285854378592019,0.1189947128295898,-0.5730771407527778,-0.2961010912895734,0.6045454545454544,-0.0038190729556186,-0.0137230667432634,-0.0270702813669119,0.4050632911392405,-0.1162968102653714,0.0099039937876447,0.6582278481012658,-0.0414545822804416,5,-0.0352545997366628,0.0705080203487014,-0.0352545997366628,0.8
