epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_rolling_win_rate,competition_recent_return_min,competition_market_equal_period_return,competition_latest_window_return,competition_turnover_mean,competition_max_drawdown,competition_rolling_return_min,competition_rolling_return_mean,competition_period_return,competition_period_excess_equal,competition_rolling_excess_equal_mean,competition_score,competition_recent_return_mean,competition_sharpe
1,0.402020472053081,0.03957665791461345,0.12536247059878827,0.31569781391174967,0.5117072222920691,0.0014307459271301261,88,0.2911392405063291,-0.022824858867866893,0.11899471282958984,0.007235411458522689,0.6045454545454544,-0.1384265721651442,-0.06280145298893414,-0.01098551925880531,-0.0369901053231656,-0.15598481815275544,-0.020889513046450092,-0.04381443280975295,-0.01071829340856698,-0.3952501101698851
2,0.40075774256659646,0.04248998191725564,0.12705297074422034,0.3344272996402055,0.5126261529493789,0.0015276059692206961,88,0.46835443037974683,-0.0034870562187598875,0.11899471282958984,-0.001932074124827654,0.6045454545454544,-0.1566718886828775,-0.08978828854750787,-0.008470767966075682,-0.03447809482075059,-0.15347280765034044,-0.018374761753720464,-0.036231159732914645,0.01328706086597169,-0.3156430605867037
3,0.40053620218809666,0.042800350903371004,0.12663750927875878,0.33797530563521605,0.511199753123107,0.0015968374826281267,88,0.4430379746835443,-0.013380849060740663,0.11899471282958984,-0.013380849060740663,0.6045454545454544,-0.1278279179400983,-0.0764091011737209,-0.005439862027511383,-0.024666273295520735,-0.14366098612511058,-0.015343855815156168,-0.027782710664111282,0.025963205396988154,-0.2451911313094484
4,0.4003588382358618,0.04323139796178819,0.12527047178494655,0.34510445554962144,0.5121415427519916,0.0016726614918628582,88,0.46835443037974683,-0.054652330606942856,0.11899471282958984,-0.054652330606942856,0.6045454545454544,-0.10763726563203724,-0.06785244349932984,0.006064041030607847,0.09047740074118327,-0.028517312088406577,-0.0038399527570369373,-0.011594959403379183,0.010259234946300122,1.261700220046574
5,0.40023680221620483,0.042628823415935733,0.12193978202276104,0.34958913907176514,0.5124707119426697,0.0019015957475196708,88,0.5949367088607594,0.009768865504680369,0.11899471282958984,0.010157289565884575,0.6045454545454544,-0.1147493077714935,-0.05937923896949071,0.014724015409636937,0.08921890206790972,-0.02977581076168012,0.004820021621992153,0.001997265439210036,0.043861115868644426,1.1361965252129365
6,0.40007842500957763,0.043545971025306524,0.12167899056749833,0.35787584053921373,0.5114146274559107,0.0009093326981531969,88,0.620253164556962,-0.004744318584035123,0.11899471282958984,0.013944080185018581,0.6045454545454544,-0.08149686467370199,-0.06559476896176863,0.015127815777950795,0.15072519163825016,0.03173047880866031,0.005223821990306011,0.009771256289804369,0.03515256716563038,1.60347278629596
7,0.39998737582745025,0.04366267077679222,0.1218701138751377,0.35827217509230286,0.5129004606082772,0.0009033102818317606,88,0.5569620253164557,-0.04943323649541986,0.11899471282958984,-0.04943323649541986,0.6045454545454544,-0.12687376833060882,-0.10957549713733139,0.006154670803454347,0.03711696235557693,-0.08187775047401291,-0.003749322984190437,-0.011378757621991845,0.03641912920778998,0.48637587225217316
8,0.3998640660961773,0.04420716695525208,0.11763217740872557,0.3758084558925536,0.5126764426868435,0.0014624954842888242,88,0.5949367088607594,-0.053570285010653085,0.11899471282958984,-0.053570285010653085,0.6045454545454544,-0.13281464840933754,-0.10535821035032134,0.01898929334928184,0.034576728179612104,-0.08441798464997774,0.009085299561637056,0.00937777817423808,0.09308256115199447,0.4437996473817314
9,0.3997887807463533,0.04403949076637072,0.11858943228319098,0.3713610050953329,0.512946178551427,0.0016576081450859253,88,0.4810126582278481,-0.021290893903164965,0.11899471282958984,-0.021290893903164965,0.6045454545454544,-0.17599426517523542,-0.12869309729684186,0.005219450452956078,0.0023511519784567003,-0.11664356085113314,-0.004684543334688707,-0.013779144403679838,0.06546756442437725,0.22061186927471982
10,0.39962855353293664,0.04364162961526565,0.11641871057326952,0.37486783181470873,0.5121278273690467,0.0012117800933166027,88,0.569620253164557,0.022913828185042506,0.11899471282958984,0.022913828185042506,0.6045454545454544,-0.13683649910006723,-0.09829772576525297,0.012024813582800028,0.08780941195936154,-0.031185300870228305,0.002120819795155243,0.008650725441067297,0.08682453069781153,0.8326974078349073
11,0.3994024380857345,0.04304318948175685,0.11568660114963354,0.37206719753209033,0.5135450836066885,0.0014296709919728362,88,0.5443037974683544,0.06461613287156132,0.11899471282958984,0.06461613287156132,0.6045454545454544,-0.25549855228568663,-0.10727318465653846,0.014944300140931906,0.05364065280364816,-0.06535406002594168,0.005040306353287121,0.006553979616067986,0.13415966013430536,0.5681402664228217
