epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_turnover_mean,competition_market_equal_period_return,competition_rolling_return_min,competition_rolling_return_mean,competition_rolling_win_rate,competition_rolling_excess_equal_mean,competition_recent_return_min,competition_latest_window_return,competition_score,competition_sharpe,competition_recent_return_mean,competition_max_drawdown,competition_period_return,competition_period_excess_equal
8,0.3999232465446241,0.04311159620214612,0.11573105147033592,0.37251537642165505,0.5119632427737076,0.0012930042837979918,88,0.5056818181818182,0.11899471282958984,-0.10008084012252305,0.007933542023921302,0.5569620253164557,-0.001970451763723482,0.04495908417710459,0.04495908417710459,0.013322454840617958,1.251768683769379,0.09288841566141448,-0.1559386810408191,0.16223699184525575,0.04324227901566591
9,0.3997430414961253,0.04308816250269821,0.1164989224784114,0.36985889299261926,0.5147063193626918,0.000883629652724432,88,0.5056818181818182,0.11899471282958984,-0.11993418575137771,0.005885850141094257,0.4810126582278481,-0.004018143646550528,0.06894902127979563,0.06894902127979563,0.0072772882352978956,0.9457474791101227,0.11129991928097302,-0.19825971874960635,0.11693484651635555,-0.002059866313234293
10,0.39963913339246643,0.04188480685654445,0.11504105234778615,0.36408574158310436,0.5106694249825701,0.0013991117832781376,88,0.5056818181818182,0.11899471282958984,-0.11829265977451353,0.007815317863254666,0.569620253164557,-0.002088675924390118,0.01701964116226584,0.01701964116226584,0.0012779371427613512,0.8216932724816378,0.09145764100009864,-0.2036888342123636,0.09250331479038021,-0.026491398039209635
11,0.3995068578105453,0.04267457792537155,0.11394332653610574,0.37452459238013436,0.5136730938475078,0.0012568534148158506,88,0.5056818181818182,0.11899471282958984,-0.11568625724136772,-0.0006325420587010739,0.43037974683544306,-0.010536535846345858,0.009758836350098665,0.009758836350098665,-0.02988617261270073,-0.028510360671163387,0.06268821979416281,-0.261399644488976,-0.02911613926912071,-0.14811085209871055
12,0.3993668623220366,0.04224344736428643,0.11142963415293815,0.3791042453420149,0.5149120501068657,0.0009499927817325278,88,0.5056818181818182,0.11899471282958984,-0.12103230119778186,0.006055535662801696,0.5189873417721519,-0.003848458124843088,0.02056360910742816,0.02056360910742816,-0.011573879219700482,0.7202830549941888,0.05886820917078821,-0.21296717225871897,0.06947916202712512,-0.049515550802464725
13,0.39920037841011036,0.043767043732781695,0.11279208325613775,0.38803294051579673,0.5123381299075355,0.0007712993240354328,88,0.5056818181818182,0.11899471282958984,-0.0844561261585246,0.008392686561306636,0.5443037974683544,-0.0015113072263381478,0.004242518615493296,0.004242518615493296,-0.0050593472105310774,1.1543275643070885,0.03520269018123288,-0.1422706654240018,0.1077057972465929,-0.011288915582996939
14,0.39908941708430606,0.04323620431881008,0.11178884740379087,0.38676670636595095,0.5144548706753683,0.0004493298749201296,88,0.5056818181818182,0.11899471282958984,-0.08086527187445913,0.00398977732138191,0.4936708860759494,-0.005914216466262875,0.0029897626999288995,0.003364737582503885,-0.010689979235387117,1.0481865376914643,0.03216455978232484,-0.14972570524561568,0.09572913477574296,-0.02326557805384688
15,0.3989240298767943,0.043670125103245465,0.10919575075569074,0.3999251326267345,0.5156206782256866,0.0008000352718227077,88,0.5056818181818182,0.11899471282958984,-0.09600322988256649,0.005375909256964989,0.4810126582278481,-0.004528084530679795,0.003001707687640298,0.003001707687640298,-0.00545513550709883,1.1903982743442698,0.038352663062982774,-0.1429727371615539,0.11949644291202244,0.0005017300824325943
16,0.39884311897464186,0.04335657462477541,0.10914417090030727,0.39724132097148346,0.5135359400180586,0.0008642711757354184,88,0.5056818181818182,0.11899471282958984,-0.06880379645290546,0.01038483518168583,0.620253164556962,0.00048084139404104553,-0.008391260525763333,0.0014930268297994598,-0.005933040842963964,1.1872018907407658,0.013514669115125489,-0.09085993645741419,0.08322643049999856,-0.03576828232959128
17,0.3986469578083436,0.04339878524152056,0.10722070334793068,0.4047612437375243,0.5124935709142445,0.0008152952987901782,88,0.5056818181818182,0.11899471282958984,-0.04919117854765287,0.009002054202863609,0.620253164556962,-0.0009019395847811758,-0.004717094060347593,-0.004717094060347593,-0.005644896610423005,0.9578047614182444,0.01601067388897588,-0.061766896129122895,0.05838011594601311,-0.06061459688357673
18,0.3983963433085223,0.04316894430763419,0.10714826416213268,0.40288981482996855,0.5141211296903753,0.0010249974855634553,88,0.5056818181818182,0.11899471282958984,-0.06200344422743265,0.008828569274977922,0.569620253164557,-0.0010754245126668623,0.006618974823543899,0.006813129889259306,-0.00771404316911177,0.9222553060715951,0.018644363986274913,-0.08846787974825143,0.06382286697761819,-0.05517184585197166
19,0.39831657813814825,0.04460191383355385,0.10639963805335927,0.4191923454775857,0.5105962762735304,0.0010157528634987432,88,0.5056818181818182,0.11899471282958984,-0.06714734188815819,0.010649364218817141,0.5822784810126582,0.0007453704311723569,-0.01817227681985556,-0.01817227681985556,-0.00165237812980034,1.4975097899611478,0.02496891454965309,-0.0758655520467445,0.08474561828485427,-0.03424909454473557
20,0.39824733273150853,0.04319680264020327,0.10366241017746983,0.4167065242478005,0.5135405118123736,0.0011044620993991637,88,0.5056818181818182,0.11899471282958984,-0.058668297404909975,0.011888250624793572,0.6835443037974683,0.001984256837148788,0.010100035020334852,0.0211249961978357,0.0027233926723032615,1.7413592460976455,0.022632732812438983,-0.054505479870133766,0.09604325096096344,-0.0229514618686264
