epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_secondary_return_loss,train_direction_loss,train_combined_topk_loss,train_consistency_loss,train_context_score_topk_loss,train_trend_adjusted_topk_loss,train_cluster_topk_loss,train_cluster_rank_loss,train_in_cluster_rank_loss,train_gate_entropy,train_rank_aux_y_score_top20_loss,train_topk_aux_final_score_k10_loss,train_topk_aux_final_score_k40_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,return_pred_open_mse,return_pred_open_mae,return_pred_open_bias,return_pred_open_pearson,return_pred_open_spearman,return_pred_open_direction_accuracy,return_pred_vwap_mse,return_pred_vwap_mae,return_pred_vwap_bias,return_pred_vwap_pearson,return_pred_vwap_spearman,return_pred_vwap_direction_accuracy,return_pred_blend_mse,return_pred_blend_mae,return_pred_blend_bias,return_pred_blend_pearson,return_pred_blend_spearman,return_pred_blend_direction_accuracy,direction_pred_bce,direction_pred_accuracy,direction_pred_up_rate,direction_label_up_rate,top10_return_mean,top20_return_mean,top40_return_mean,competition_recent_return_min,competition_rolling_return_mean,competition_market_equal_period_return,competition_sharpe,competition_rolling_win_rate,competition_turnover_mean,competition_period_return,competition_rolling_return_min,competition_latest_window_return,competition_max_drawdown,competition_recent_return_mean,competition_period_excess_equal,competition_rolling_excess_equal_mean,competition_score
1,cluster_inrank020_seed2041,1,all,0.22602222499828467,0.20290513741419272,0.0018327476900873137,0.0020426848008839515,0.002025874317889532,0.6901743880715911,0.0,0.0,0.0015342992286104242,0.0,0.0007728796200595253,0.4515615905415247,0.27400754600886107,1.033127997783158,0.20249275412364454,0.0013060938500450267,0.0011415950824252236,-0.032761737659564596,0.11942199517768942,-0.27433587599016424,0.48591541948575634,-0.002181521102078501,77,0.005489806178957224,0.05723056569695473,-0.00018900739087257534,-0.00011860704402472733,0.008774537692249193,0.5027334519220236,0.0052228933200240135,0.05612900108098984,-3.865313556161709e-05,-0.006575222244846305,-0.0009893174811675676,0.5004799190397446,0.005489806178957224,0.05723056569695473,-0.00018900739087257534,-0.00011860704402472733,0.008774537692249193,0.5027334519220236,0.6967953013673507,0.5104382391144451,0.0042018998534160325,0.4895695856525073,-0.0013699191561960555,-0.002181521102078501,-0.0015082433884026022,0.08601703072442723,0.010605694288654773,0.09432899951934814,1.7698554352573816,0.5147058823529411,0.5064935064935064,0.2423544852688564,-0.1513365282764778,0.08601703072442723,-0.23075521717826097,0.1278000698298049,0.14802548574950825,0.005265686113982926,0.027559821597225233
2,cluster_inrank020_seed2041,2,all,0.22112849236780086,0.19514332319214597,0.0021106143046460166,0.0016017892347098388,0.0015816818730902363,0.6883978623723619,0.0,0.0,0.0013216565777748764,0.0,0.0009011902442282689,0.4559873047735917,0.2726426859456978,1.0667067813901356,0.19330262386181413,0.001650833835771159,0.0013870893834983964,-0.03419766613770327,0.11717328490135165,-0.29185548708047515,0.48554504718334474,-0.002001096300974295,77,0.010962571948766708,0.0719146654009819,-0.021905241534113884,0.003701844470020385,0.020980460952410875,0.507673488124612,0.010677222162485123,0.07105017453432083,-0.021754885092377663,0.002181223008647375,0.012745321426033043,0.5055399350022692,0.010962571948766708,0.0719146654009819,-0.021905241534113884,0.003701844470020385,0.020980460952410875,0.507673488124612,0.6973511816504174,0.5104825794605085,0.0009754876133939145,0.4895695856525073,-0.003737387564277534,-0.002001096300974295,-0.0008416943745434362,0.06580209523535352,-0.0012839448185789832,0.09432899951934814,0.933363310343685,0.47058823529411764,0.5064935064935064,0.09701772417498389,-0.14163999460452104,0.07326693455147626,-0.26447099976484045,0.1135928856835591,0.0026887246556357436,-0.0066239529932508295,-0.0008777067869482173
3,cluster_inrank020_seed2041,3,all,0.21946646470911998,0.19267768050604808,0.0021500835774398586,0.0014251379519627002,0.0014031796450022303,0.6880026572307746,0.0,0.0,0.0010607087633011272,0.0,0.0009522500343139217,0.45629262333059395,0.27220315087571295,1.0680455533176958,0.1904503782271567,0.0016229461535835817,0.0014503452370929332,-0.03476391269895465,0.11644366412443653,-0.2985470524339091,0.4847730035107121,-0.0031045749579411146,77,0.010682531632483006,0.06504296511411667,-0.029907099902629852,0.005608845788638707,0.017800856802446377,0.5059337816055378,0.010381444357335567,0.06396906077861786,-0.029756750911474228,0.006941284408614021,0.01182943886513041,0.5042957970568444,0.010682531632483006,0.06504296511411667,-0.029907099902629852,0.005608845788638707,0.017800856802446377,0.5059337816055378,0.6967430688755498,0.5104173730692387,0.0004460117162843833,0.4895695856525073,-0.002134450566735687,-0.0031045749579411146,-0.0003875326130889937,0.02607945735853745,-0.016058951969532956,0.09432899951934814,-0.28377090646328956,0.39705882352941174,0.5064935064935064,-0.06359423858135971,-0.15244814658293504,0.02607945735853745,-0.30037459408590916,0.08293719664613827,-0.15792323810070785,-0.021398960144204802,-0.03705473280471639
4,cluster_inrank020_seed2041,4,all,0.21803907975072087,0.19059029905637478,0.0022555398201734226,0.0012260876763025503,0.0012014132660644796,0.6878299272151608,0.0,0.0,0.0008319068116525363,0.0,0.0009159104401468608,0.4541382214000746,0.272275211540582,1.0516011134675842,0.18846985427613397,0.0017408064995555776,0.0015069390290809808,-0.035574798906363315,0.11367492433834708,-0.3129520350545993,0.4858267387936296,-0.003107854423669542,77,0.009102469310164452,0.05838325619697571,-0.02068081870675087,0.007876373859634496,0.014407795188813693,0.5050365416616676,0.00880453735589981,0.05718108266592026,-0.020530464127659798,0.00955612975529222,0.008763388308851896,0.5036228670989416,0.009102469310164452,0.05838325619697571,-0.02068081870675087,0.007876373859634496,0.014407795188813693,0.5050365416616676,0.6963492576636953,0.5104304143474927,0.0003442897459037345,0.4895695856525073,-0.0037577660234281024,-0.003107854423669542,-0.00030169144392621326,0.023098455680810925,-0.01602367500835614,0.09432899951934814,-0.7982638369081442,0.36764705882352944,0.5064935064935064,-0.13355433553693485,-0.1593740221083466,0.07999522533641734,-0.3635030044797596,0.07346303875824822,-0.227883335056283,-0.021363683183027986,-0.053006838330043035
5,cluster_inrank020_seed2041,5,all,0.2162558384340535,0.18833667778351365,0.0018928484717040388,0.0011166428094384442,0.0010895940472150968,0.6876858353193821,0.0,0.0,0.0007819175199497812,0.0,0.000889888265310824,0.45260348681880136,0.27195006986973635,1.0497685675062525,0.18602232897699125,0.0012726142733723606,0.0012743062110136456,-0.03740888038761044,0.11187958532543264,-0.33436734931396456,0.4869900208138801,-0.0025544939184706512,77,0.008418581448495388,0.054300788789987564,-0.023165687918663025,0.012083273997460755,0.01850099266574327,0.5055138524457613,0.008122775703668594,0.05299707129597664,-0.023015335202217102,0.013894393738698451,0.011159411497993547,0.5026082556507858,0.008418581448495388,0.054300788789987564,-0.023165687918663025,0.012083273997460755,0.01850099266574327,0.5055138524457613,0.6959069188516538,0.5104278060918419,0.00022170173031679872,0.4895695856525073,-0.004018385002583072,-0.0025544939184706512,-0.0005101333508364759,0.04268162446852908,-0.013516214336254603,0.09432899951934814,-0.07924188973060606,0.38235294117647056,0.5064935064935064,-0.04017162621870041,-0.14297583039242012,0.07319765801686473,-0.307479085196658,0.09449441032787798,-0.13450062573804855,-0.01885622251092645,-0.03128217038431674
6,cluster_inrank020_seed2041,6,all,0.21469591898715376,0.18632942276308997,0.001810758331246527,0.0010468771463570312,0.00101889884143217,0.687748681523647,0.0,0.0,0.0007061196687329,0.0,0.0008472720565420948,0.44980731667877294,0.2718023670954589,1.0555798379795351,0.18398681542166828,0.0012273574773161362,0.0012147900465090077,-0.03856389097934056,0.11187955176532773,-0.3446911466022854,0.48771511588479854,-0.0028777554664872708,77,0.009797679260373116,0.05609709396958351,-0.028059884905815125,0.012350479651602238,0.014618847228954363,0.5035367946624656,0.009493987075984478,0.05473686382174492,-0.027909530326724052,0.015539841641814862,0.010141212326375873,0.5022013677692633,0.009797679260373116,0.05609709396958351,-0.028059884905815125,0.012350479651602238,0.014618847228954363,0.5035367946624656,0.6952615602168717,0.5104251978361911,0.00019822742945972593,0.4895695856525073,0.00014004016749775522,-0.0028777554664872708,-0.0010101866731480635,0.0375005920503626,-0.01634088378384559,0.09432899951934814,0.1086869413163725,0.38235294117647056,0.5064935064935064,-0.01648036035092615,-0.18155318519290042,0.09373055486356319,-0.3110366460664684,0.10093217849036158,-0.1108093598702743,-0.021680891958517436,-0.0292129260400745
7,cluster_inrank020_seed2041,7,all,0.2137200499129969,0.1850140714440155,0.0017990705429223733,0.0009824525650867205,0.0009529157805665199,0.687655168150789,0.0,0.0,0.0006824293540396825,0.0,0.000870837911134646,0.4483625628514596,0.2718554933485808,1.0587991187683339,0.1824037820241113,0.0011858336195362574,0.0012095946794745236,-0.038985942711609205,0.11037386589339636,-0.35321715331837195,0.48885753185984276,-0.003621556463589183,77,0.008046386763453484,0.05210528150200844,-0.016640475019812584,0.013959872218749031,0.014618477829784142,0.5035054955946562,0.007743389345705509,0.05068681389093399,-0.01649012416601181,0.018128015770872016,0.012990105756099117,0.5031403398035462,0.008046386763453484,0.05210528150200844,-0.016640475019812584,0.013959872218749031,0.014618477829784142,0.5035054955946562,0.6957680793996129,0.5104225895805403,0.00020605219641208354,0.4895695856525073,-0.0005939247429842589,-0.003621556463589183,-0.0005967188127604979,0.06356807295735889,-0.015707924341110267,0.09432899951934814,-0.34131233472969846,0.36764705882352944,0.5064935064935064,-0.08118918240320017,-0.174863558985479,0.11948316259851421,-0.3652169361870724,0.12385845577928782,-0.1755181819225483,-0.021047932515782113,-0.03516919906515572
8,cluster_inrank020_seed2041,8,all,0.21213024111356085,0.1828250601326388,0.0017519306329107339,0.0009215404538877896,0.000890822473090096,0.6876423076856409,0.0,0.0,0.0005872890863436307,0.0,0.0008489931169584867,0.4456495431730367,0.2718508190323564,1.0566656795791347,0.1804501842433316,0.0011091944129392477,0.0011700027119055179,-0.03768283729004416,0.11027950592430485,-0.3417029934456672,0.4895721939081581,-0.0016118556014624993,77,0.006785258185118437,0.047888606786727905,-0.014645121060311794,0.013638230783307776,0.016258704659974067,0.5042671062446856,0.006481594871729612,0.04636756330728531,-0.014494762755930424,0.018231319324089314,0.0141325483621355,0.5047939738861444,0.006785258185118437,0.047888606786727905,-0.014645121060311794,0.013638230783307776,0.016258704659974067,0.5042671062446856,0.6959593730248409,0.5104095483022864,0.00018257789555501072,0.4895695856525073,0.00018032086490012416,-0.0016118556014624993,-0.00015045013036820795,0.05401815201387672,-0.00609897056936049,0.09432899951934814,1.018325829598377,0.4411764705882353,0.5064935064935064,0.12315412018673921,-0.18084995398813397,0.09734637932122081,-0.26436159146849236,0.11180848922796971,0.02882512066739107,-0.011438978744032336,-0.001641607280023872
