run,r_value,epoch,checkpoint,hold2026_recent_market_equal_period_return,same_calendar_2025_market_equal_period_return,same_comp_2025_market_equal_period_return,hold2026_recent_max_drawdown,same_calendar_2025_max_drawdown,same_comp_2025_max_drawdown,hold2026_recent_period_excess_equal,same_calendar_2025_period_excess_equal,same_comp_2025_period_excess_equal,hold2026_recent_period_return,same_calendar_2025_period_return,same_comp_2025_period_return,hold2026_recent_turnover_mean,same_calendar_2025_turnover_mean,same_comp_2025_turnover_mean,selection_score,selection_score_weight_sum
r020_topk005_open,0.2,1,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_1.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0592263229482217,-0.0232783187456561,-0.0406200317606435,-0.0288583792127106,-0.0019077983089178,-0.0478725429258813,-0.0709265030301544,-0.02413860227544,-0.0344880815229883,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,2,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_2.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0059994878950715,-0.0261984820436143,-0.0548753881409372,0.0661511585627872,0.0024180552276624,-0.0636999117911693,0.0240830347453433,-0.0198127487388597,-0.0503154503882762,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,3,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_3.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0060523535039073,-0.0138308583150255,-0.0098946002084017,0.0452755714511283,0.0127472182257857,-0.0077741126973485,0.0032074476336845,-0.0094835857407364,0.0056103487055445,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,4,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_4.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.006628305721581,-0.0120972364298316,-0.0079882817701487,0.0656170577225758,0.0006613929916191,0.0052593755178653,0.023548933905132,-0.021569410974903,0.0186438369207584,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_5.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0130288843819839,-0.021865078897084,-0.0107800890529995,0.0529966196980959,-0.0079695598618207,-0.000490754416671,0.0109284958806521,-0.030200363828343,0.012893706986222,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_6.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0183385070096516,-0.0123376259033936,-0.0077296253424158,0.058043405442596,0.0061172919150027,0.009359504844645,0.0159752816251521,-0.0161135120515194,0.0227439662475381,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,7,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_7.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0118779615271091,-0.0063394695292413,-0.0126928357202268,0.059710154192839,0.0163621510201955,0.0210807973400393,0.0176420303753952,-0.0058686529463266,0.0344652587429323,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_8.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0114629409209273,-0.0462108321525081,-0.0095879715639353,0.0155436696428852,-0.0627246750687082,0.0328150693731286,-0.0265244541745586,-0.0849554790352304,0.0461995307760216,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,9,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_9.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0444822164093321,-0.0327082471593604,-0.0436444014001774,-0.0060247651512479,-0.0082533289092007,0.0068389933805217,-0.0480928889686917,-0.0304841328757229,0.0202234547834148,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_10.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0481542687958429,-0.0433232157989097,-0.0418270050384029,0.0033161868358098,-0.0352201612556589,0.0092991453609267,-0.038751936981634,-0.0574509652221811,0.0226836067638198,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_11.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.026570856641531,-0.0578968090305773,-0.0491501217238892,0.0778386976492691,-0.0605788906343814,-0.0059644090450048,0.0357705738318252,-0.0828096946009037,0.0074200523578882,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_12.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0254141614860228,-0.0162822327435366,-0.0114776361427972,0.0222485010401137,0.0104602105173443,0.0108699462227217,-0.01981962277733,-0.0117705934491778,0.0242544076256148,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_13.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0196755676096906,-0.0252656141516882,-0.0175281614768505,0.0386054614911398,0.0063565251159022,0.0107414214260155,-0.0034626623263039,-0.0158742788506199,0.0241258828289085,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,14,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_14.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0292260160183015,-0.0189409033167362,-0.0084151872600281,0.0075124326377672,0.0163453556164063,0.0189406898387323,-0.0345556911796766,-0.0058854483501158,0.0323251512416253,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,15,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_15.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0247677485316275,-0.0154659129202052,-0.0157050045006611,0.0172380921911481,0.0159458446471958,-0.0057671956018716,-0.0248300316262957,-0.0062849593193263,0.0076172658010214,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,16,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_16.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0258085657653267,-0.0106433072513123,-0.0106622718699089,-2.7164745870722484e-05,0.0302558087137123,-0.0103736596954684,-0.0420952885633145,0.0080250047471901,0.0030108017074246,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,17,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_17.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0302926426754555,-0.0135177810709732,-0.013341997038184,0.0078583494243664,0.019410293113108,-0.008318101654561,-0.0342097743930773,-0.0028205108534141,0.005066359748332,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,18,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_18.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0453808376067847,-0.0120722436254165,-0.0217853982341494,-0.0189247207419493,0.0289967722177069,0.0188641381456309,-0.0609928445593932,0.0067659682511846,0.0322485995485239,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,19,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_19.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0196396265386082,-0.0151652495066457,-0.0241215210598315,0.0553972222419638,0.0113992804722133,-0.022486637205113,0.01332909842452,-0.0108315234943088,-0.0091021758022199,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
r020_topk005_open,0.2,20,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r020_topk005_open/checkpoints/msgca_epoch_20.pt,-0.0420681238174438,-0.0222308039665222,0.013384461402893,-0.0463302829442832,-0.0196866151883202,-0.0079950756165385,-0.0169035276072315,0.0062856866189584,0.0040524493493787,-0.0589716514246754,-0.0159451173475637,0.0174369107522718,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.0,0.0
