epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_direction_loss,train_gate_entropy,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_rolling_win_rate,competition_turnover_mean,competition_rolling_excess_equal_mean,competition_max_drawdown,competition_recent_return_mean,competition_rolling_return_min,competition_rolling_return_mean,competition_recent_return_min,competition_period_return,competition_latest_window_return,competition_period_excess_equal,competition_market_equal_period_return,competition_score,competition_sharpe
1,score_rank,1,encoder_and_score,0.36712394945055965,0.3681866209986913,-0.0008261307551987152,0.005760093539223632,0.6935387551609105,1.0626715845118697,0.040437470010478455,0.12701257722181167,0.3183737460886212,0.5125609761672907,0.0012667727850467518,88,0.6329113924050633,0.5056818181818182,-0.0041748863014415,-0.11857617196359738,0.0041845717468945946,-0.07698233669614962,0.005702264270357475,-0.014206648513992226,0.07089109552988027,-0.014206648513992226,-0.04787556992879893,0.1187666654586792,-0.014691380575141192,1.0914738963570803
2,score_rank,2,encoder_and_score,0.3660356845485245,0.36711924033280047,-0.0009362718841675825,0.003967857350712601,0.6949230181321879,1.0835559801749441,0.04279040085623357,0.12751527017308037,0.3355707971143601,0.5139187959750015,0.0015457943032246972,88,0.6582278481012658,0.5056818181818182,-0.0012428045652573445,-0.10525325525988471,-0.0009410044076348046,-0.08222262837205874,0.008634346006541631,-0.02195204890544844,0.10401994496081213,-0.02195204890544844,-0.014746720497867072,0.1187666654586792,-0.009461788488445779,1.5409440622639206
3,score_rank,3,encoder_and_score,0.3658834114504113,0.36697370106855376,-0.000962317481232451,0.004084387873551573,0.6951639433690139,1.0902895767454401,0.043127720544607846,0.12718660322820968,0.3390901199493802,0.5119483571294684,0.0017488026619916623,88,0.620253164556962,0.5056818181818182,-0.00391871398623292,-0.12228109839062529,-0.004664140528889282,-0.09723601396204273,0.005958436585566056,-0.017227870191196204,0.05760576741539558,-0.012028623307314468,-0.06116089804328362,0.1187666654586792,-0.018588271603354713,0.8764655675039678
4,score_rank,4,encoder_and_score,0.3657262456845086,0.36681993925760886,-0.000982331762590495,0.004463099234580134,0.6952073805257809,1.0936939510757464,0.04326659877189214,0.12543078497503457,0.3449440165785761,0.5138045013783928,0.0015753705931935904,88,0.6329113924050633,0.5056818181818182,-0.0034167736095279304,-0.12080272211296428,-0.003317088462802742,-0.09782313389815134,0.006460376962271045,-0.012890822277670355,0.08066078042576352,-0.012890822277670355,-0.038105885032915676,0.1187666654586792,-0.015395520172361427,1.1282267593829074
5,score_rank,5,encoder_and_score,0.36562324931440526,0.36671786742606116,-0.0010194331634701195,0.005157312001153748,0.6954175893386159,1.0946182164814697,0.04248987053852784,0.12164200926811164,0.34930260355101295,0.5137999295945285,0.0010841449443691172,88,0.569620253164557,0.5056818181818182,-0.005124529422866875,-0.13284079446161834,-0.005434803953434808,-0.10598771414417552,0.0047526211489321004,-0.020919761968365425,0.053765680139279404,-0.020919761968365425,-0.0650009853193998,0.1187666654586792,-0.02139044339827474,0.7717389356635568
