epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_direction_loss,train_gate_entropy,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_rolling_win_rate,competition_turnover_mean,competition_rolling_excess_equal_mean,competition_max_drawdown,competition_recent_return_mean,competition_rolling_return_min,competition_rolling_return_mean,competition_recent_return_min,competition_period_return,competition_latest_window_return,competition_period_excess_equal,competition_market_equal_period_return,competition_score,competition_sharpe,train_topk_aux_final_score_k10_loss,train_topk_aux_final_score_k40_loss
1,score_rank,1,encoder_and_score,0.3671239494505596,0.3681866209986913,-0.0008261307551987,0.0057600935392236,0.6935387551609105,1.0626715845118695,0.0404374700104784,0.1270125772218116,0.3183737460886212,0.5125609761672907,0.0012667727850467,88,0.6329113924050633,0.5056818181818182,-0.0041748863014415,-0.1185761719635973,0.0041845717468945,-0.0769823366961496,0.0057022642703574,-0.0142066485139922,0.0708910955298802,-0.0142066485139922,-0.0478755699287989,0.1187666654586792,-0.0146913805751411,1.0914738963570805,,
2,score_rank,2,encoder_and_score,0.3660356845485245,0.3671192403328004,-0.0009362718841675,0.0039678573507126,0.6949230181321879,1.083555980174944,0.0427904008562335,0.1275152701730803,0.3355707971143601,0.5139187959750015,0.0015457943032246,88,0.6582278481012658,0.5056818181818182,-0.0012428045652573,-0.1052532552598847,-0.0009410044076348,-0.0822226283720587,0.0086343460065416,-0.0219520489054484,0.1040199449608121,-0.0219520489054484,-0.014746720497867,0.1187666654586792,-0.0094617884884457,1.5409440622639206,,
3,score_rank,3,encoder_and_score,0.3658834114504113,0.3669737010685537,-0.0009623174812324,0.0040843878735515,0.6951639433690139,1.09028957674544,0.0431277205446078,0.1271866032282096,0.3390901199493802,0.5119483571294684,0.0017488026619916,88,0.620253164556962,0.5056818181818182,-0.0039187139862329,-0.1222810983906252,-0.0046641405288892,-0.0972360139620427,0.005958436585566,-0.0172278701911962,0.0576057674153955,-0.0120286233073144,-0.0611608980432836,0.1187666654586792,-0.0185882716033547,0.8764655675039678,,
4,score_rank,4,encoder_and_score,0.3657262456845086,0.3668199392576088,-0.0009823317625904,0.0044630992345801,0.6952073805257809,1.0936939510757464,0.0432665987718921,0.1254307849750345,0.3449440165785761,0.5138045013783928,0.0015753705931935,88,0.6329113924050633,0.5056818181818182,-0.0034167736095279,-0.1208027221129642,-0.0033170884628027,-0.0978231338981513,0.006460376962271,-0.0128908222776703,0.0806607804257635,-0.0128908222776703,-0.0381058850329156,0.1187666654586792,-0.0153955201723614,1.1282267593829074,,
5,score_rank,5,encoder_and_score,0.3656232493144052,0.3667178674260611,-0.0010194331634701,0.0051573120011537,0.6954175893386159,1.0946182164814695,0.0424898705385278,0.1216420092681116,0.3493026035510129,0.5137999295945285,0.0010841449443691,88,0.569620253164557,0.5056818181818182,-0.0051245294228668,-0.1328407944616183,-0.0054348039534348,-0.1059877141441755,0.0047526211489321,-0.0209197619683654,0.0537656801392794,-0.0209197619683654,-0.0650009853193998,0.1187666654586792,-0.0213904433982747,0.7717389356635568,,
6,score_rank,1,encoder_and_score,0.3654633403140142,0.3665585859408443,-0.0010519898678852,0.0050028645260952,0.6960323418568976,1.095245655176568,0.0439614241390908,0.1233254763467136,0.3564666883223625,0.5119986467519761,0.0010460443839044,88,0.620253164556962,0.5056818181818182,-0.005811817874421,-0.1390481811001256,0.009704250103012,-0.1079687570324318,0.0040653326973778,-0.0073040619874317,0.0859029050767414,-0.0073040619874317,-0.0328637603819377,0.1187666654586792,-0.0148843755886983,1.1194786234907577,,
7,score_rank,2,encoder_and_score,0.3653767333794089,0.3664717589531877,-0.0010873535497244,0.0053221901527618,0.6958008877244537,1.0950255884430982,0.0442838681146976,0.1237787173035454,0.357766416387231,0.513859362784765,0.0011031395666081,88,0.620253164556962,0.5056818181818182,-0.0048794208242072,-0.1335413679564093,0.0035325203288834,-0.1094061365722656,0.0049977297475917,-0.0151577692490373,0.0499994085818389,-0.0151577692490373,-0.0687672568768402,0.1187666654586792,-0.0189541579897315,0.7096406922784201,,
8,score_rank,3,encoder_and_score,0.3652471528290439,0.3663423912289424,-0.0011293028242795,0.0061437647553048,0.6963878785462293,1.095238450136235,0.043270823249663,0.1182046945159424,0.3660668759972732,0.5145611316079421,0.0012347207110988,88,0.5949367088607594,0.5056818181818182,-0.0072662280130278,-0.1546780581107764,0.0107654176979393,-0.1209438236875718,0.0026109225587711,-0.0136970443750638,0.0203803509042133,-0.0136970443750638,-0.0983863145544658,0.1187666654586792,-0.0237874169414801,0.3613034298386141,,
9,score_rank,4,encoder_and_score,0.3651747956494853,0.3662700929173025,-0.0011723203354269,0.0060062096763227,0.6961237484388593,1.095297289498067,0.0430971818953019,0.1190065865086429,0.3621411483151147,0.5158755194689416,0.0011949784688609,88,0.5949367088607594,0.5056818181818182,-0.0069026113202279,-0.1420037107819671,-0.0023104809380143,-0.124256689126714,0.0029745392515709,-0.0174585003847527,0.0367318589689098,-0.0174585003847527,-0.0820348064897693,0.1187666654586792,-0.023953816880078,0.5724084381150091,,
10,score_rank,5,encoder_and_score,0.3650196430576486,0.3661151652198598,-0.0012182719968957,0.0064851212216729,0.6960187330535049,1.0955220696644057,0.042312873623339,0.1157798715334942,0.3654596698278273,0.5149337319928863,0.0011884305180997,88,0.5569620253164557,0.5056818181818182,-0.0087560504823383,-0.148637841097842,0.0031967172977872,-0.1245625533623231,0.0011211000894606,-0.019791353058172,0.0229092206718686,-0.019791353058172,-0.0958574447868105,0.1187666654586792,-0.026021832557023,0.3957513818402051,,
11,score_rank,1,encoder_and_score,0.3648044311382828,0.3658993009997509,-0.001267262118059104,0.007907099185553677,0.6959840846875613,1.0948701862590042,0.04189665975537545,0.11754829442679375,0.3564208222643986,0.5158389451980269,0.0008260303706761492,88,0.5569620253164557,0.5056818181818182,-0.008248568935441167,-0.155398713350277,-0.005952914600234327,-0.13170292949330575,0.0016285816363578092,-0.02313145768809488,0.026111600408310176,-0.02313145768809488,-0.09265506505036902,0.1187666654586792,-0.028385974932334287,0.43100027333386226,,
