epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count
1,0.40195479048849064,0.03965292179663789,0.12568016198149792,0.3155066095671918,0.5119449555964477,0.0011825800919806088,88
2,0.40074008920741405,0.04254413542283265,0.12699773465284941,0.3349991678129362,0.5128135965162928,0.0016144406511722825,88
3,0.4005305891951931,0.04281469515816933,0.12662758591783088,0.33811507064465357,0.511204324917422,0.001445972440375375,88
4,0.4003578155022498,0.04328375512191125,0.12513121754819162,0.34590692850280497,0.5122146914610312,0.0012843705480918288,88
5,0.40024355234574965,0.042584075497528635,0.12165935242284696,0.350027142586792,0.5122764106842833,0.0014550909070087735,88
6,0.4000874725140285,0.04351082409030268,0.12180096373648888,0.35722889832330446,0.511026024939138,0.0014344134906423278,88
7,0.3999916983920732,0.043706754368059486,0.12145302237275933,0.3598655143707849,0.5127907375447178,0.0017280471987429667,88
8,0.39987160892539897,0.04403729252863629,0.1166515815977248,0.3775113198250473,0.5125850068005441,0.0014558483131953506,88
9,0.39979070311016446,0.04396588850780498,0.11791694066602634,0.3728547251944794,0.5124935709142445,0.001036656614980364,88
10,0.39962843856859237,0.04349343698842889,0.11568581993863958,0.3759616953183896,0.5112774736264616,0.0011731228628791127,88
11,0.39940866973555883,0.04309762676011412,0.1162738836262616,0.3706561217017791,0.5132662041534751,0.001418526308994346,88
12,0.3993372804561456,0.045615494045135936,0.11966690186642867,0.3811872233146941,0.5094807584606769,0.0009581142988860269,88
13,0.3992551267673297,0.042828391952730534,0.11212688988292209,0.3819636128091133,0.5137828169110672,0.0009324979085828421,88
14,0.3990509027309317,0.04368299297392686,0.111932780313307,0.390260948148124,0.5145417347673528,0.000803907066669622,88
15,0.3988791174612163,0.043762559007002995,0.11080727449755681,0.39494301439539437,0.5152823654463786,0.0008297312473256501,88
16,0.3987862370938957,0.04318168406337413,0.10851752926360698,0.39792358300453645,0.511734653057959,0.0008305374047433196,88
17,0.3985600804426587,0.04399879401333563,0.10855263332974423,0.4053222171007402,0.5124707119426697,0.0008230237819423729,88
18,0.3985394643046282,0.04442892057603127,0.10774897641607646,0.4123372866621714,0.5154240910701428,0.001079762315136825,88
19,0.39822938284009535,0.04254688620423234,0.10136515098116483,0.4197387937806968,0.5149120501068657,0.0012422364895676517,88
20,0.3982461810708397,0.04400869313794977,0.10348356514334954,0.42527229398201716,0.514857188575086,0.0017725905728928576,88
