case,start_date,end_date,period_return,period_excess_equal,rolling_return_mean,rolling_excess_equal_mean,rolling_win_rate,latest_window_return,recent_return_mean,recent_win_rate,max_drawdown,competition_score
baseline_validation_medium,2026-01-05,2026-04-30,0.1409655277002928,0.0466365281809446,-0.0059041101247259,-0.0112441182993978,0.3823529411764705,0.1195345502391687,0.1101245386663153,1.0,-0.2588028744114483,-0.0002066445129463
baseline_validation_soft,2026-01-05,2026-04-30,0.1398081602651202,0.045479160745772,-0.0037709013564123,-0.0091109095310841,0.3970588235294117,0.113060769073527,0.1069137126814895,1.0,-0.2299925557156084,0.0030762677630158
cluster_validation_soft,2026-01-05,2026-04-30,0.3530024765868784,0.2586734770675303,0.0167208532230519,0.0113808450483801,0.6617647058823529,0.1409412597875847,0.1012537190461658,1.0,-0.1562147704347276,0.0442760033566835
baseline_holdout_medium,2026-05-06,2026-06-01,0.077301849443282,0.1153468385523213,0.0319398793623546,0.0630064401075939,0.9,0.0412754739642959,0.0319398793623546,0.9,-0.0512919622127471,0.045170703272889
baseline_holdout_soft,2026-05-06,2026-06-01,0.0867384040279912,0.1247833931370305,0.0296417563945865,0.0607083171398257,0.9,0.0260814044473267,0.0296417563945865,0.9,-0.0587082623698174,0.0435342303414383
cluster_holdout_soft,2026-05-06,2026-06-01,0.1255818949977467,0.163626884106786,0.0432285094821617,0.074295070227401,0.9,0.0070399687293465,0.0432285094821617,0.9,-0.0568116205590285,0.058477646089553
