split,variant,period_return,excess,mdd,turnover,roll,roll_excess,win,latest,recent,score
validation,baseline,0.033127576530006975,-0.06120142298934117,-0.2875598858587647,0.5064935064935064,-0.00949053245432506,-0.014830540628996906,0.38235294117647056,0.10547341571047664,0.10023995962716584,-0.01830981781577346
validation,cluster_boost_k8_w0.20,0.05478926198302991,-0.03953973753631823,-0.2929188466262076,0.5064935064935064,-0.011001061642405482,-0.01634106981707733,0.39705882352941174,0.12540715092691235,0.1065387609318722,-0.015788577250953686
validation,cluster_boost_k8_w0.35,0.08999869412150496,-0.004330305397843182,-0.26465685253914095,0.5064935064935064,-0.008314178647631789,-0.013654186822303635,0.4117647058823529,0.12050883115223776,0.11056285322773582,-0.006810567083778665
validation,cluster_boost_k8_w0.50,0.09280915114653876,-0.0015198483728093848,-0.275779102051142,0.5064935064935064,-0.009231791338241513,-0.01457179951291336,0.4117647058823529,0.12054534946175166,0.11056093011861576,-0.008146914089590753
validation,cluster_gate_k8_m3_cap8,0.09183190337942371,-0.0024970961399244374,-0.27523400612810545,0.5064935064935064,-0.006260026813320067,-0.011600034987991913,0.4264705882352941,0.11754808920228199,0.11280004077043837,-0.005848822298806747
validation,cluster_gate_k8_m4_cap6,0.12431253180338997,0.029983532284041825,-0.2592966435766374,0.5064935064935064,-0.009781000743683443,-0.01512100891835529,0.4117647058823529,0.10229299764113642,0.10150642844849615,-0.005914020766978136
validation,cluster_gate_k8_m5_cap5,0.056057577563994876,-0.03827142195535327,-0.29974898279917783,0.5064935064935064,-0.009735182762604096,-0.015075190937275943,0.38235294117647056,0.10270998440709134,0.1102167996137775,-0.014876075079316532
validation,cluster_gate_k8_m6_cap4,-0.05220448142023948,-0.14653348093958762,-0.33023151220993463,0.5064935064935064,-0.018652497629930345,-0.02399250580460219,0.3235294117647059,0.059410532136049854,0.09426978819080926,-0.038230045245704794
validation,cluster_gate_k8_m8_cap3,0.03491612092764251,-0.05941287859170563,-0.2635399129105128,0.5064935064935064,-0.014053920701394773,-0.01939392887606662,0.35294117647058826,0.03963218595396478,0.08851820391596013,-0.021463386191933307
validation,cluster_boost_k12_w0.20,0.05684427178622431,-0.037484727733123835,-0.2676217840660987,0.5064935064935064,-0.008290213960402694,-0.013630222135074541,0.4117647058823529,0.1287270334764199,0.09894280526331886,-0.013314333883130742
