split,variant,period_return,excess,mdd,turnover,roll,roll_excess,win,latest,recent,score
validation,baseline,0.033127576530006975,-0.06120142298934117,-0.2875598858587647,0.5064935064935064,-0.00949053245432506,-0.014830540628996906,0.38235294117647056,0.10547341571047664,0.10023995962716584,-0.01830981781577346
validation,gknn20_t068_boost_w0.15,0.033571888898916935,-0.06075711062043121,-0.2875598844964973,0.5064935064935064,-0.009415100618970515,-0.014755108793642361,0.38235294117647056,0.10547341571047664,0.1002672481553704,-0.01821707680115958
validation,gknn20_t068_boost_w0.30,0.036405259736147055,-0.05792373978320109,-0.28560684468550634,0.5064935064935064,-0.008437206822349236,-0.013777214997021083,0.39705882352941174,0.10547341571047664,0.10353623504001705,-0.016236288603504696
validation,gknn20_t068_boost_w0.45,0.04314250512473583,-0.051186494394612314,-0.28096286787617664,0.5064935064935064,-0.008017716111054389,-0.013357724285726236,0.39705882352941174,0.10547341571047664,0.10353623504001705,-0.014867446492500682
validation,gknn20_t068_gate_m4_cap6,0.06357613389975758,-0.030752865619590564,-0.23703022715538713,0.5064935064935064,-0.006413278314415405,-0.011753286489087252,0.4411764705882353,0.09364024477913624,0.09339216660336871,-0.009643219393341965
validation,gknn20_t068_gate_m5_cap5,0.06061985546277682,-0.03370914405657133,-0.25371547030174835,0.5064935064935064,-0.006364226126114557,-0.011704234300786404,0.39705882352941174,0.06819967293857077,0.10204163799196779,-0.009859201471549162
validation,gknn20_t068_gate_m6_cap4,0.06376436620277581,-0.03056463331657233,-0.2166096314882694,0.5064935064935064,-0.0015471458573594462,-0.006887154032031293,0.39705882352941174,0.0656953512470213,0.10379793702364033,-0.0027456976104679245
validation,gknn20_t068_gate_m8_cap3,0.03405607740555894,-0.06027292211378921,-0.21520561757230194,0.5064935064935064,-0.0028061679016283293,-0.008146176076300176,0.38235294117647056,0.07838951687746842,0.09630599525604702,-0.00828863148836849
validation,gknn20_t074_boost_w0.15,0.03530767803867296,-0.05902132148067518,-0.28636340670090343,0.5064935064935064,-0.00925646212904045,-0.014596470303712297,0.38235294117647056,0.10547341571047664,0.10026724794765049,-0.01783659899009303
validation,gknn20_t074_boost_w0.30,0.03814580381156518,-0.05618319570778296,-0.28440708931730385,0.5064935064935064,-0.00875930162266252,-0.014099309797334366,0.39705882352941174,0.10547341571047664,0.1002672481553704,-0.016936657520476604
validation,gknn20_t074_boost_w0.45,0.03814580381156518,-0.05618319570778296,-0.28440708931730385,0.5064935064935064,-0.008278568287444164,-0.01361857646211601,0.39705882352941174,0.10547341571047664,0.10353623504001705,-0.015855007464944844
validation,gknn20_t074_gate_m4_cap6,0.1066066104254273,0.01227761090607915,-0.22753680929518105,0.5064935064935064,-0.002246229339607414,-0.007586237514279261,0.45588235294117646,0.0878556237231718,0.10064503930694357,-0.00013867601918686467
validation,gknn20_t074_gate_m5_cap5,0.03622983230645582,-0.05809916721289232,-0.26587364427976,0.5064935064935064,-0.00463864339956039,-0.009978651574232236,0.38235294117647056,0.07525768849506642,0.10697666418318372,-0.011478252961103066
validation,gknn20_t074_gate_m6_cap4,0.05325233589718592,-0.041076663622162224,-0.2304561382485254,0.5064935064935064,-0.001446239053357496,-0.006786247228029342,0.38235294117647056,0.06863514040542062,0.10518213330537056,-0.0049270623279482895
validation,gknn20_t074_gate_m8_cap3,0.08930897261588044,-0.0050200269034677,-0.1948850558604932,0.5064935064935064,0.00046619554710816853,-0.004873812627563678,0.4264705882352941,0.08917470337354927,0.09971788986214322,0.0023626642227618927
validation,gknn20_t08_boost_w0.15,0.037186309286997954,-0.05714269023235019,-0.28476100206711175,0.5064935064935064,-0.008654558966744549,-0.013994567141416395,0.39705882352941174,0.10547341571047664,0.10023995983483354,-0.01701721186729345
validation,gknn20_t08_boost_w0.30,0.03763236912697998,-0.056696630392368164,-0.2847609993548331,0.5064935064935064,-0.008112522807294586,-0.013452530981966433,0.39705882352941174,0.10547341571047664,0.10353623504001705,-0.015850416923074026
validation,gknn20_t08_boost_w0.45,0.039560482248994555,-0.05476851727035359,-0.28343195282202205,0.5064935064935064,-0.008122110972412427,-0.013462119147084273,0.39705882352941174,0.10547341571047664,0.10353623504001705,-0.015529974448406276
validation,gknn20_t08_gate_m4_cap6,0.09954730780511678,0.005218308285768636,-0.23213962968940882,0.5064935064935064,-0.004138710677924987,-0.009478718852596834,0.4264705882352941,0.07584039424618849,0.09616710645241458,-0.0037593539174064286
validation,gknn20_t08_gate_m5_cap5,0.03795379043802716,-0.05637520908132099,-0.25923524098854756,0.5064935064935064,-0.005231988871578658,-0.010571997046250505,0.4117647058823529,0.05928474429553221,0.09818607685913949,-0.012871886012386967
validation,gknn20_t08_gate_m6_cap4,0.03701327206734373,-0.05731572745200442,-0.2314714764115876,0.5064935064935064,-0.0024942673614261122,-0.00783427553609796,0.39705882352941174,0.04755113870532002,0.10013728749280355,-0.008343070726288811
validation,gknn20_t08_gate_m8_cap3,0.06931289893615178,-0.025016100583196366,-0.1888501063254795,0.5064935064935064,-8.194684163950912e-05,-0.005421955016311356,0.4411764705882353,0.04928034536572734,0.09748001720273605,0.0002526641531567994
validation,gknn35_t068_boost_w0.15,0.033127576530006975,-0.06120142298934117,-0.2875598858587647,0.5064935064935064,-0.009490532447610986,-0.014830540622282833,0.38235294117647056,0.10547341571047664,0.10023995962716584,-0.018309817812080718
validation,gknn35_t068_boost_w0.30,0.03312757604622418,-0.06120142347312396,-0.28755988619237915,0.5064935064935064,-0.009490532465002274,-0.01483054063967412,0.38235294117647056,0.10547341571047664,0.10023995962716584,-0.01830981790338565
