split,variant,period_return,excess,mdd,turnover,roll,roll_excess,win,latest,recent,score
validation,baseline,0.033127576530006975,-0.06120142298934117,-0.2875598858587647,0.5064935064935064,-0.00949053245432506,-0.014830540628996906,0.38235294117647056,0.10547341571047664,0.10023995962716584,-0.01830981781577346
validation,mbk_k24_boost_w0.30,0.12042897708333533,0.026099977563987187,-0.26837850021951126,0.5064935064935064,-0.01044004364624573,-0.015780051820917577,0.38235294117647056,0.10945932679081172,0.10117862644292619,-0.007949103648131558
validation,mbk_k24_boost_w0.45,0.06860572404310994,-0.025723275476238205,-0.2864733217939295,0.5064935064935064,-0.013502254718935229,-0.018842262893607076,0.38235294117647056,0.09115325912108885,0.09305710245490044,-0.018655508196581582
validation,mbk_k24_boost_w0.60,0.09417579271366527,-0.0001532068056828706,-0.280638600285429,0.5064935064935064,-0.013198907090687391,-0.018538915265359238,0.36764705882352944,0.10167554849790483,0.09367593868618543,-0.01534053774884785
validation,mbk_k36_boost_w0.30,0.06755406760534388,-0.026774931914004263,-0.2774152575403057,0.5064935064935064,-0.009143488385367642,-0.014483496560039489,0.4264705882352941,0.09529087386829893,0.10489399256879525,-0.012057146932471702
validation,mbk_k36_boost_w0.45,0.05456164555820897,-0.039767353961139174,-0.30705367294603014,0.5064935064935064,-0.009850617179113327,-0.015190625353785174,0.38235294117647056,0.08508964001715014,0.10280536398925108,-0.01767248512979204
validation,mbk_k36_boost_w0.60,0.03154373469752314,-0.062785264821825,-0.29363336530493445,0.5064935064935064,-0.012146047912608515,-0.017486056087280363,0.38235294117647056,0.06309656396807939,0.09305487674137392,-0.022332354167142694
validation,mbk_k48_boost_w0.30,0.06814581848048751,-0.026183181038860637,-0.27296464091000017,0.5064935064935064,-0.008190665714128811,-0.013530673888800658,0.39705882352941174,0.10970406521401554,0.10337024180038017,-0.011703913051908026
validation,mbk_k48_boost_w0.45,0.0526579791723929,-0.041671020346955245,-0.2874695831282511,0.5064935064935064,-0.01146972640318827,-0.016809734577860117,0.39705882352941174,0.0993065614223303,0.09750546628709625,-0.017972868461846255
validation,mbk_k48_boost_w0.60,0.031730738422038884,-0.06259826109730926,-0.29461632007231164,0.5064935064935064,-0.010928162415997308,-0.016268170590669154,0.39705882352941174,0.09266043024864956,0.10418463485552425,-0.018812613896225683
validation,hdb_p1000_mcs30_boost_w0.15,0.07125852481791872,-0.023070474701429422,-0.2793850857926219,0.5064935064935064,-0.008353087814944253,-0.0136930959896161,0.4117647058823529,0.10536576117116847,0.10069656205335942,-0.012645380175101341
validation,hdb_p1000_mcs30_boost_w0.30,0.16249504317055297,0.06816604365120482,-0.26530682163582997,0.5064935064935064,-0.006178482829725081,-0.011518491004396928,0.4117647058823529,0.10977092359753726,0.09953959188289577,-0.0012071117249040884
validation,hdb_p1000_mcs30_boost_w0.45,0.1862462618441738,0.09191726232482567,-0.271164018424091,0.5064935064935064,-0.0052614584494075686,-0.010601466624079415,0.39705882352941174,0.1144686328186022,0.10530305024486748,0.002380459639770037
validation,hdb_p1000_mcs30_gate_m4_cap6,0.07673860650658515,-0.017590393012762995,-0.26339884630923527,0.5064935064935064,-0.006517999870961444,-0.01185800804563329,0.36764705882352944,0.0922357737126751,0.1037428172176702,-0.00916906236821603
validation,hdb_p1000_mcs30_gate_m6_cap4,0.024836668137853124,-0.06949233138149502,-0.3092406746611678,0.5064935064935064,-0.010306756188065683,-0.015646764362737528,0.39705882352941174,0.12624004574903425,0.10848172720585299,-0.019548409870585294
validation,hdb_p1000_mcs50_boost_w0.15,0.08844246254269827,-0.00588653697664987,-0.28163985932044433,0.5064935064935064,-0.007845256222541754,-0.013185264397213601,0.4117647058823529,0.10536576117116847,0.10069656205335942,-0.010873156379584251
validation,hdb_p1000_mcs50_boost_w0.30,0.16020847647365555,0.0658794769543074,-0.2611464618365621,0.5064935064935064,-0.005837262802480448,-0.011177270977152294,0.39705882352941174,0.10977092359753726,0.09953959190173182,-0.0009791202185028929
validation,hdb_p1000_mcs50_boost_w0.45,0.18699144998967387,0.09266245047032573,-0.26513093722092707,0.5064935064935064,-0.0062184562607327425,-0.011558464435404588,0.39705882352941174,0.1144686328186022,0.10530305024486748,0.0025319377784075933
validation,hdb_p1000_mcs50_gate_m4_cap6,0.06641238170333374,-0.0279166178160144,-0.2712038924234478,0.5064935064935064,-0.006154686224401552,-0.011494694399073399,0.39705882352941174,0.0922357737126751,0.10514328057186617,-0.010138133468746664
validation,hdb_p1000_mcs50_gate_m6_cap4,0.04336977594314284,-0.050959223576205304,-0.29864680629451124,0.5064935064935064,-0.007641343905411483,-0.01298135208008333,0.39705882352941174,0.13727514940125762,0.11308672504296531,-0.014018486038652779
holdout,baseline,0.11544544655906552,0.15349043566810483,-0.046433692435518314,0.5263157894736842,0.05017720568638824,0.0812437664316275,1.0,0.04618518866281174,0.05017720568638824,0.06506075102141709
holdout,mbk_k24_boost_w0.30,0.11112469428521665,0.14916968339425596,-0.046447557205884005,0.5263157894736842,0.03534942478552068,0.06641598553075995,1.0,0.024607364987867753,0.03534942478552068,0.052765064596301585
holdout,mbk_k24_boost_w0.45,0.030164979365117084,0.06820996847415639,-0.06441786199198307,0.5263157894736842,0.02268896379263461,0.05375552453787387,0.8,-0.02051600016694355,0.02268896379263461,0.03074369383137287
holdout,mbk_k24_boost_w0.60,0.03210744326119186,0.07015243237023117,-0.060540653897688035,0.5263157894736842,0.018128471761367237,0.04919503250660649,0.9,0.0011440257333676929,0.018128471761367237,0.028677267405395952
holdout,mbk_k36_boost_w0.30,0.034749670759850027,0.07279465986888933,-0.053139582178762024,0.5263157894736842,0.013422083142808228,0.04448864388804749,0.6,-0.010424332924521496,0.013422083142808228,0.022916486432307166
holdout,mbk_k36_boost_w0.45,0.03423142093877285,0.07227641004781216,-0.058495870563234464,0.5263157894736842,0.011333787809864226,0.04240034855510348,0.7,-0.014384006907938174,0.011333787809864226,0.021658396345397003
holdout,mbk_k36_boost_w0.60,0.036693134616630374,0.07473812372566968,-0.054453176636325984,0.5263157894736842,0.01003571105357609,0.04110227179881535,0.6,-0.011138059658434618,0.01003571105357609,0.020270375700843096
holdout,mbk_k48_boost_w0.30,0.0967866548089158,0.1348316439179551,-0.04321519566585075,0.5263157894736842,0.044660282799897956,0.07572684354513722,1.0,0.042804404909563054,0.044660282799897956,0.05910318321417666
holdout,mbk_k48_boost_w0.45,0.0947568443307043,0.1328018334397436,-0.05166806960756598,0.5263157894736842,0.03987615086749816,0.07094271161273742,1.0,0.02101237488423302,0.03987615086749816,0.05422760922626414
holdout,mbk_k48_boost_w0.60,0.06623291677223331,0.10427790588127261,-0.050986486390093955,0.5263157894736842,0.03835483629575589,0.06942139704099515,0.9,0.009238972074307572,0.03835483629575589,0.049226323134770426
holdout,hdb_p1000_mcs30_boost_w0.15,0.08336507787085701,0.12141006697989631,-0.048966670645533394,0.5263157894736842,0.045530375893882535,0.07659693663912179,1.0,0.0526340116325712,0.045530375893882535,0.057881952497590164
holdout,hdb_p1000_mcs30_boost_w0.30,0.08276015314560725,0.12080514225464656,-0.05107388091207188,0.5263157894736842,0.04182346617150896,0.07289002691674823,1.0,0.048960863648359165,0.04182346617150896,0.054645211220512496
holdout,hdb_p1000_mcs30_boost_w0.45,0.052004790821576385,0.09004977993061569,-0.05616819005414897,0.5263157894736842,0.026210093172941283,0.05727665391818054,0.9,0.029850097707369683,0.026210093172941283,0.03756954567504754
holdout,hdb_p1000_mcs30_gate_m4_cap6,0.09826912003653909,0.1363141091455784,-0.051765205993497765,0.5263157894736842,0.04994728679596372,0.08101384754120297,0.9,0.05615660545613199,0.04994728679596372,0.0616260319010269
holdout,hdb_p1000_mcs30_gate_m6_cap4,0.1006775048576749,0.1387224939667142,-0.05577367924976051,0.5263157894736842,0.046919606483259366,0.07798616722849863,1.0,0.04544376666339711,0.046919606483259366,0.06004387880735072
holdout,hdb_p1000_mcs50_boost_w0.15,0.08336507787085701,0.12141006697989631,-0.048966670645533394,0.5263157894736842,0.04553037582199191,0.07659693656723117,1.0,0.0526340116325712,0.04553037582199191,0.05788195244007767
holdout,hdb_p1000_mcs50_boost_w0.30,0.06998678784540036,0.10803177695443966,-0.05107388091207188,0.5263157894736842,0.0432451415527179,0.07431170229795717,1.0,0.048960863648359165,0.0432451415527179,0.05450521499545895
holdout,hdb_p1000_mcs50_boost_w0.45,0.034442367648404026,0.07248735675744333,-0.05657040587545559,0.5263157894736842,0.023595219028639126,0.054661779773878386,0.8,0.029850097707369683,0.023595219028639126,0.03268118246015793
holdout,hdb_p1000_mcs50_gate_m4_cap6,0.09667549481194615,0.13472048392098546,-0.051765205993497876,0.5263157894736842,0.050893064456504065,0.08195962520174332,0.9,0.05615660545613199,0.050893064456504065,0.062223291506999866
holdout,hdb_p1000_mcs50_gate_m6_cap4,0.11133698451130125,0.14938197362034056,-0.05411366014499386,0.5263157894736842,0.047266406191861066,0.07833296693710032,1.0,0.04544376666339711,0.047266406191861066,0.06155326845007138
