variant,holdout,validation,combined_live
baseline,0.06506075102141709,-0.01830981781577346,0.044218108812119454
hdb_p1000_mcs50_gate_m4_cap6,0.062223291506999866,-0.010138133468746664,0.04413293526306323
hdb_p1000_mcs30_gate_m4_cap6,0.0616260319010269,-0.00916906236821603,0.04392725833371617
hdb_p1000_mcs50_gate_m6_cap4,0.06155326845007138,-0.014018486038652779,0.04266032982789034
mbk_k48_boost_w0.30,0.05910318321417666,-0.011703913051908026,0.04140140914765549
hdb_p1000_mcs50_boost_w0.15,0.05788195244007767,-0.010873156379584251,0.04069317523516219
hdb_p1000_mcs30_boost_w0.30,0.054645211220512496,-0.0012071117249040884,0.04068213048415835
hdb_p1000_mcs50_boost_w0.30,0.05450521499545895,-0.0009791202185028929,0.04063413119196849
hdb_p1000_mcs30_boost_w0.15,0.057881952497590164,-0.012645380175101341,0.04025011932941729
hdb_p1000_mcs30_gate_m6_cap4,0.06004387880735072,-0.019548409870585294,0.04014580663786672
mbk_k24_boost_w0.30,0.052765064596301585,-0.007949103648131558,0.0375865225351933
mbk_k48_boost_w0.45,0.05422760922626414,-0.017972868461846255,0.036177489804236546
mbk_k48_boost_w0.60,0.049226323134770426,-0.018812613896225683,0.0322165888770214
hdb_p1000_mcs30_boost_w0.45,0.03756954567504754,0.002380459639770037,0.028772274166228164
hdb_p1000_mcs50_boost_w0.45,0.03268118246015793,0.0025319377784075933,0.025143871289720343
mbk_k24_boost_w0.45,0.03074369383137287,-0.018655508196581582,0.018393893324384254
mbk_k24_boost_w0.60,0.028677267405395952,-0.01534053774884785,0.017672816116835004
mbk_k36_boost_w0.30,0.022916486432307166,-0.012057146932471702,0.01417307809111245
mbk_k36_boost_w0.45,0.021658396345397003,-0.01767248512979204,0.011825675976599743
mbk_k36_boost_w0.60,0.020270375700843096,-0.022332354167142694,0.009619693233846647
