epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_latest_window_return,competition_rolling_return_min,competition_rolling_win_rate,competition_turnover_mean,competition_max_drawdown,competition_recent_return_min,competition_period_excess_equal,competition_score,competition_market_equal_period_return,competition_rolling_excess_equal_mean,competition_sharpe,competition_rolling_return_mean,competition_period_return,competition_recent_return_mean
11,0.3995353082757336,0.043003513925005496,0.11601429184361205,0.37067427850160467,0.5132067708273804,0.0014987978335160403,88,0.03455359556125259,-0.14569377627121172,0.5822784810126582,0.5056818181818182,-0.1472185359456436,0.03455359556125259,0.24085089486998568,0.05303043932260511,0.11899471282958984,0.01367369689085565,2.249560575786551,0.023577690678500435,0.3598456076995755,0.13375906394164275
12,0.3994701881490082,0.04503703611365571,0.1184777128158323,0.3801308705516922,0.5101162378704582,0.0012293056639795066,88,0.0324510518170098,-0.09685220847680442,0.5189873417721519,0.5056818181818182,-0.1358521013695615,0.0324510518170098,0.019469487545438202,0.008593822269171473,0.11899471282958984,0.0009414428043462292,1.4768665779373114,0.010845436591991013,0.13846420037502805,0.07056118938723537
13,0.39939725802462545,0.042783057545585465,0.11300249168672084,0.3786027804076553,0.514678888596802,0.0012657305295843716,88,0.03272053341384695,-0.08356495538952646,0.6455696202531646,0.5056818181818182,-0.09999134170714286,0.03272053341384695,0.15450770897703214,0.03682789299194009,0.11899471282958984,0.011243813739487104,2.5105860610242665,0.021147807527131888,0.273502421806622,0.08740937264415435
14,0.39918868755017256,0.043610886619059736,0.11244923561317251,0.3878273283162369,0.5149211936954956,0.000865132957518323,88,-0.000910266641882207,-0.09302787260451484,0.5443037974683544,0.5056818181818182,-0.12434813188954097,-0.000910266641882207,0.040467479211947044,0.006146521326677184,0.11899471282958984,-0.00025253235532006306,1.8052481108432343,0.009651461432324721,0.1594621920415369,0.04938528828206421
15,0.399025261928363,0.043637868592574305,0.11136311222810946,0.39185209284730776,0.5156618243745213,0.0008219594944255897,88,0.012233880741777448,-0.0760987411177918,0.5822784810126582,0.5056818181818182,-0.10186859095870848,0.012233880741777448,0.04298692551287231,0.0089510200086446,0.11899471282958984,0.004062429295381276,1.8591739777208152,0.01396642308302606,0.16198163834246215,0.03959178514391568
16,0.39893531308165714,0.043271518308422734,0.10947362880334185,0.3952688769105807,0.5119861017452825,0.0008655849570376714,88,0.009638314321394281,-0.0668100297350348,0.6455696202531646,0.5056818181818182,-0.0630540231038983,-0.0012341547027280297,-0.058322446699621944,-0.008298640493321172,0.11899471282958984,-0.003257904488593354,1.0790451013111078,0.00664608929905143,0.0606722661299679,0.009164153634250138
17,0.39871313378627055,0.04391753010459596,0.10931465809757988,0.4017533500895453,0.5125712914175992,0.0008330383234351757,88,0.026626241357874614,-0.07430696563781147,0.6455696202531646,0.5056818181818182,-0.07375394168938543,0.012642266596993412,-0.03428072633868018,-0.00354095332855987,0.11899471282958984,-0.0019370408813122394,1.3474136549943965,0.007966952906332545,0.08471398649090967,0.01995228164709504
18,0.3986922807908184,0.044140419308864455,0.10840851280431232,0.407167464685565,0.5147566091001566,0.0013352346445158632,88,0.0065254844272704116,-0.07105291657323065,0.7088607594936709,0.5056818181818182,-0.05648275273301717,0.003719728281109891,0.0204743428976637,0.004775302500961923,0.11899471282958984,0.0006032058228574409,2.6024867046821334,0.010507199610502225,0.13946905572725354,0.016286613369303815
19,0.3983862060108488,0.042247608627691356,0.10180377514558349,0.41499058917290227,0.5141119861017452,0.0013965825968294996,88,0.011094237810816088,-0.0712979204939681,0.6329113924050633,0.5056818181818182,-0.06968790901512834,0.011094237810816088,-0.030657773445927017,0.0007870954259148509,0.11899471282958984,-0.0016688128276255224,1.570203224882704,0.008235180960019262,0.08833693938366283,0.0341051098340031
20,0.3984055912901613,0.04383956410540654,0.10368597442127162,0.4228109380280142,0.5140159784211308,0.0017284729590094437,88,0.015148047834102396,-0.06966310332083425,0.7468354430379747,0.5056818181818182,-0.04108927246852834,0.015148047834102396,0.02934429359943458,0.010003515469464524,0.11899471282958984,0.0016637426290482607,2.814282576397925,0.011567736416693045,0.14833900642902442,0.02364192454141838
