epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_latest_window_return,competition_rolling_return_min,competition_rolling_win_rate,competition_turnover_mean,competition_max_drawdown,competition_recent_return_min,competition_period_excess_equal,competition_score,competition_market_equal_period_return,competition_rolling_excess_equal_mean,competition_sharpe,competition_rolling_return_mean,competition_period_return,competition_recent_return_mean
1,0.40213055183355634,0.039660337912499684,0.12542114599072668,0.3162173140678532,0.5116935069091242,0.0012323012409648402,88,0.02324360407616033,-0.052025728670467175,0.43037974683544306,0.5056818181818182,-0.11241968126143986,-0.0014121039735252028,-0.024172616167642103,-0.008055294554397989,0.11899471282958984,-0.00935551792554985,1.4118875692283075,0.0005484758620949352,0.09482209666194774,0.038246212938180715
2,0.40087648050935215,0.04257997669760449,0.1271084866586634,0.33498925065443175,0.5125575760346542,0.0015697732598131222,88,0.047380937674263546,-0.06002297136486012,0.5189873417721519,0.5056818181818182,-0.07844192697445673,0.047380937674263546,0.0841235289757738,0.01762117116927621,0.11899471282958984,-0.0025599941593585605,2.2689185999921357,0.007343999628286224,0.20311824180536364,0.06554805997762872
3,0.4006570145058028,0.04285450409794777,0.12674463163920377,0.3381169170141981,0.5110077377618781,0.0013554301754497415,88,0.014231506194978705,-0.06445168322066308,0.4936708860759494,0.5056818181818182,-0.08536437030110144,-0.009442733826050098,-0.03031717091203112,-0.004933987045557302,0.11899471282958984,-0.007178283814628279,1.0913372626583753,0.0027257099730165052,0.08867754191755872,0.035045579873515996
4,0.4004810233899184,0.04325777456827513,0.1254441820406544,0.3448368339175426,0.5122649811984958,0.0013151370658926514,88,0.05195549022852686,-0.08461908149500419,0.620253164556962,0.5056818181818182,-0.12787914253278265,0.018197632028400967,0.09737995927723597,0.013960398305597978,0.11899471282958984,0.004710196818330209,2.1129539196884233,0.014614190605974993,0.21637467210682582,0.04533222956335359
5,0.4003603960606124,0.04259866467236507,0.12218854974545669,0.34863057758772525,0.5124935709142445,0.0013143395327378212,88,0.03354358868145635,-0.06995325400660823,0.5822784810126582,0.5056818181818182,-0.1224024435561446,0.03354358868145635,-0.006365786925505601,0.005646088375859721,0.11899471282958984,0.0015231219365636414,1.0758142603557814,0.011427115724208426,0.11262892590408424,0.059913160816500576
6,0.4002020643731297,0.043556171521735645,0.12204330695730474,0.35689111191466816,0.5110808864709177,0.00131265532995299,88,-0.0030280755458185205,-0.07936860106238597,0.7088607594936709,0.5056818181818182,-0.10531168085610076,-0.0030280755458185205,0.14012279122000693,0.030375584560707984,0.11899471282958984,0.012058381736288601,2.2373251087546504,0.021962375523933386,0.25911750404959677,0.06515854651903563
7,0.4001060319760745,0.043741751249411764,0.12186381129565488,0.3589396292824743,0.5124387093824648,0.0014275702691189838,88,0.004230010239852033,-0.07136637878007912,0.6329113924050633,0.5056818181818182,-0.10931817920205678,0.004230010239852033,0.09035871810486351,0.023504818030085008,0.11899471282958984,0.007517466548393243,1.757681365508002,0.017421460336038027,0.20935343093445336,0.07221169707789761
8,0.39999614593700633,0.04421339112451089,0.1184677165823916,0.3732104610437181,0.5126764426868435,0.001555430774632524,88,0.02372242085945553,-0.10387185188985681,0.6582278481012658,0.5056818181818182,-0.13339311903506423,0.02372242085945553,0.09094554008648403,0.02230706762639604,0.11899471282958984,0.008454579187289821,1.610916441566788,0.018358572974934605,0.20994025291607388,0.07374163657027592
9,0.3999111035804737,0.04398645696810861,0.11857208021933362,0.3709680802322337,0.512772450367458,0.0011560571539038474,88,0.029755813679757992,-0.12294280465524299,0.5949367088607594,0.5056818181818182,-0.20011352483682232,0.029755813679757992,-0.015086538383854764,0.010065211495991142,0.11899471282958984,0.0032295628512290283,0.9048866439343052,0.013133556638873813,0.10390817444573508,0.10790188726644909
10,0.39975895853236254,0.04357698212896718,0.11667022885745115,0.3735055854069676,0.5119998171282274,0.0013550887974402444,88,-0.001771603029308677,-0.11508330711564096,0.5569620253164557,0.5056818181818182,-0.17343089973315973,-0.001771603029308677,-0.00856577316606888,0.007457098720646871,0.11899471282958984,0.004317864859799923,0.9670334250071042,0.014221858647444708,0.11042893966352096,0.0833128029594088
