epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_recent_return_min,competition_max_drawdown,competition_period_return,competition_rolling_win_rate,competition_rolling_return_mean,competition_period_excess_equal,competition_rolling_excess_equal_mean,competition_latest_window_return,competition_market_equal_period_return,competition_score,competition_rolling_return_min,competition_recent_return_mean,competition_turnover_mean,competition_sharpe
1,0.4021102617318803,0.039612620373728064,0.12537443834015047,0.31595451910425304,0.511716365880699,0.0015269897171079224,88,-0.027024582351322546,-0.11466207075094048,-0.011844241211588558,0.31645569620253167,-0.009011639284622033,-0.1308389540411784,-0.01891563307226682,0.001610042451772431,0.11899471282958984,-0.038447395881135854,-0.055356209321343997,-0.014169486075462178,0.6045454545454544,-0.05302368313506402
2,0.40085046552012005,0.042547788663700896,0.12705696331468394,0.33487175793995744,0.512598722183489,0.0015703064716283486,88,-0.018398650178029663,-0.12792009913763014,-0.030062173696096317,0.4430379746835443,-0.008299904321956394,-0.14905688652568616,-0.01820389810960118,-0.007373987746412514,0.11899471282958984,-0.03531014842242169,-0.09185266557521954,0.0043407800507685446,0.6045454545454544,-0.25362666889362045
3,0.40062876385124097,0.042832933959583375,0.12665283159988977,0.3381916805057887,0.511030596733453,0.0014287381605258402,88,-0.0071179304812628574,-0.16044146160250072,-0.09426170564286718,0.31645569620253167,-0.009803662974196737,-0.21325641847245702,-0.01970765676184152,0.010545169761399631,0.11899471282958984,-0.04331196646584703,-0.06613438434444197,0.019393425815893005,0.6045454545454544,-1.2038262698337068
4,0.40045156136479637,0.04324806397870861,0.1253502009468318,0.3450179070478921,0.5121964042837712,0.0016486026872206078,88,-0.031112083565576154,-0.0989268009269828,0.03749841700395673,0.5063291139240507,-0.00028329672936949275,-0.08149629582563311,-0.010187290517014277,-0.031112083565576154,0.11899471282958984,-0.021398082273302785,-0.07270784338038527,0.001199306809652545,0.6045454545454544,0.5832837148132204
5,0.40032970459760114,0.04259740954273459,0.12204746947480252,0.3490232917244474,0.5125484324460242,0.0018964029433680646,88,-0.010555341232991289,-0.10100336232516016,0.04642536537861308,0.4810126582278481,0.008028087104247374,-0.07256934745097676,-0.00187590668339741,-0.010555341232991289,0.11899471282958984,-0.002760914877136403,-0.07738525438762822,0.055735435397617474,0.6045454545454544,0.6658968142014632
6,0.4001711165119158,0.043538137543312795,0.12187291759765326,0.3572421043291012,0.5111677505629022,0.0012289982262039055,88,-0.018065777008875017,-0.11444651509541093,0.016001718527394626,0.45569620253164556,0.009526195955959773,-0.10299299430219522,-0.0003777978316850117,-0.018065777008875017,0.11899471282958984,-0.015339490087023521,-0.07266920449660497,0.02068467316073752,0.6045454545454544,0.3142267400053139
7,0.40007335866739496,0.043717143318303446,0.12165773391403081,0.35934536927340827,0.5124478529710949,0.0006850114256270568,88,-0.050980412609055725,-0.13674644301968053,-0.037959956529247885,0.5569620253164557,0.005884392773513483,-0.15695466935883773,-0.004019601014131301,-0.050980412609055725,0.11899471282958984,-0.024480417366095193,-0.08233867090238134,0.018586939326805108,0.6045454545454544,-0.29803059165378576
8,0.39996274169084955,0.04418630086581426,0.11825083191449987,0.37366587744399754,0.5127084452470483,0.0014132499849107592,88,-0.0012433908738299637,-0.13322994658267906,-0.006675586928559629,0.6582278481012658,0.015864774079290184,-0.12567029975814947,0.005960780291645399,-0.0012433908738299637,0.11899471282958984,0.0009342870937402523,-0.1024928037991314,0.08031793896696986,0.6045454545454544,0.13279083084697194
9,0.39987574292323813,0.04396023412446948,0.1183145343036101,0.3715539631983163,0.5127587349845131,0.0016687420380053068,88,-0.006089958074438351,-0.20247196991484806,0.004378411421764206,0.4936708860759494,0.009077091928419816,-0.11461630140782564,-0.0008269018592249686,-0.006089958074438351,0.11899471282958984,-0.012063715884006477,-0.11221352342468316,0.07311631626164845,0.6045454545454544,0.21477507361884238
10,0.3997220247545405,0.043565422799715585,0.11643768427836787,0.3741522606681495,0.512086681220212,0.0011439898343351988,88,-0.011703906386609009,-0.20943638560148814,-0.021977601504237443,0.4810126582278481,0.0074528807677125735,-0.1409723143338273,-0.002451113019932211,-0.011703906386609009,0.11899471282958984,-0.01816875679185065,-0.09801058621278835,0.06610391774280847,0.6045454545454544,-0.011078896035375064
