run,r_value,epoch,checkpoint,val2026_strict_competition_score,val2026_strict_latest_window_return,hold2026_recent_market_equal_period_return,same_calendar_2025_market_equal_period_return,same_comp_2025_market_equal_period_return,val2026_strict_market_equal_period_return,hold2026_recent_max_drawdown,same_calendar_2025_max_drawdown,same_comp_2025_max_drawdown,val2026_strict_max_drawdown,hold2026_recent_period_excess_equal,same_calendar_2025_period_excess_equal,same_comp_2025_period_excess_equal,val2026_strict_period_excess_equal,hold2026_recent_period_return,same_calendar_2025_period_return,same_comp_2025_period_return,val2026_strict_period_return,val2026_strict_recent_return_mean,val2026_strict_recent_return_min,val2026_strict_rolling_excess_equal_mean,val2026_strict_rolling_return_mean,val2026_strict_rolling_win_rate,hold2026_recent_turnover_mean,same_calendar_2025_turnover_mean,same_comp_2025_turnover_mean,val2026_strict_turnover_mean,val2026_strict_selection_component,hold2026_recent_selection_component,same_calendar_2025_selection_component,same_comp_2025_selection_component,selection_score,selection_score_weight_sum
r020_top10_topk010,0.2,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk010/checkpoints/msgca_epoch_11.pt,0.044121992456489734,0.036876153752191776,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.026570856641531027,-0.07441583909822158,-0.04915012172388933,-0.15771673890488336,0.0778386976492691,-0.07666109307024094,-0.0059109367638745525,0.2002350621375748,0.03577057383182525,-0.09889189703676315,0.007473524639018514,0.31922977496716465,0.11615104195624557,0.036876153752191776,0.015003777759728385,0.02490777154737317,0.569620253164557,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.044121992456489734,0.0778386976492691,-0.07666109307024094,-0.0059109367638745525,0.03288500217093667,1.0
r020_top10_topk008,0.2,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_11.pt,0.03078785260625002,0.0175253142857974,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.0173486788529158,-0.05789680903057737,-0.04915012172388933,-0.15365525203476704,0.07898034063346038,-0.06057889063438149,-0.0059109367638745525,0.12038402026671502,0.03691221681601653,-0.0828096946009037,0.007473524639018514,0.23937873309630486,0.09718316838881287,0.0175253142857974,0.012701267731966183,0.022605261519610967,0.5949367088607594,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.03078785260625002,0.07898034063346038,-0.06057889063438149,-0.0059109367638745525,0.029237407438068616,1.0
r020_top10_topk012,0.2,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk012/checkpoints/msgca_epoch_13.pt,0.015249554306825095,0.002492614035930929,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.02357003208640196,-0.027552630476034512,-0.007935699375962946,-0.12119833935269031,0.04737127611299763,0.004277244270679437,0.01312552910646203,0.042441478439086744,0.005303152295553781,-0.01795355969584278,0.026509990509355097,0.1614361912686766,0.05304915105839436,0.002492614035930929,0.010709501261794792,0.020613495049439576,0.7088607594936709,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.015249554306825095,0.04737127611299763,0.004277244270679437,0.01312552910646203,0.023249028944113265,1.0
r020_top10_topk010,0.2,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk010/checkpoints/msgca_epoch_12.pt,0.025922730603767867,0.006492364339314216,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.025414161486022713,-0.015721620201614828,-0.011237284047570406,-0.06971258385001289,0.02702933550185027,0.01054651478798374,0.00684158129933099,0.104928955364743,-0.015038788315593576,-0.011684289178538476,0.020226042702224056,0.22392366819433285,0.044464093717904295,0.006492364339314216,0.013065019644978257,0.02296901343262304,0.7215189873417721,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.025922730603767867,0.02702933550185027,0.01054651478798374,0.00684158129933099,0.021947541433164963,1.0
r020_top10_topk012,0.2,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk012/checkpoints/msgca_epoch_11.pt,0.00996466992379471,0.024151681273922865,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.026570856641531027,-0.05532871421393293,-0.03509707354269054,-0.1767159838242961,0.07783869391720288,-0.06401053280055935,0.011884875424246877,-0.014008483610527644,0.035770570099759036,-0.08624133676708157,0.025269336827139943,0.1049862292190622,0.09432572362583178,0.024151681273922865,0.005918383127188351,0.015822376914833135,0.5316455696202531,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.00996466992379471,0.07783869391720288,-0.06401053280055935,0.011884875424246877,0.021320002468829424,1.0
r020_top10_topk012,0.2,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk012/checkpoints/msgca_epoch_12.pt,0.023732122257230308,0.0037040546779256722,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.025414161486022824,-0.01599372557878498,-0.014059186116980538,-0.0814398734255678,0.02737442003000856,0.012365947847381986,0.004130718595156901,0.10174771613242384,-0.014693703787435286,-0.00986485611914023,0.017515179998049968,0.22074242896201368,0.04011731210994531,0.0037040546779256722,0.01330824760730111,0.023212241394945893,0.7468354430379747,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.023732122257230308,0.02737442003000856,0.012365947847381986,0.004130718595156901,0.02095386433007357,1.0
r020_top10_topk008,0.2,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_12.pt,0.02108407828371786,0.01308055926712215,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.025414161486022824,-0.01572161927733251,-0.011237284047570406,-0.08462583979552163,0.022248501040113777,0.010546516175057752,0.00684158129933099,0.08860567867117353,-0.01981962277733007,-0.011684287791464465,0.020226042702224056,0.20760039150076337,0.04333055971811213,0.01308055926712215,0.010462082270079819,0.020366076057724603,0.7215189873417721,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.02108407828371786,0.022248501040113777,0.010546516175057752,0.00684158129933099,0.018335897724005765,1.0
r020_top10_topk008,0.2,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_13.pt,0.014232436532191327,-0.010965244658650786,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.028290519088544963,-0.026494871485647997,-0.00954302742421298,-0.12259041683919158,0.028691472842670596,0.005115424634127397,0.015070588474994207,0.05706846314195668,-0.013376650974773252,-0.01711537933239482,0.028455049877887273,0.17606317597154653,0.042428830641061885,-0.010965244658650786,0.011511417419146608,0.021415411206791392,0.6962025316455697,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.014232436532191327,0.028691472842670596,0.005115424634127397,0.015070588474994207,0.017535289930927477,1.0
r020_top10_topk010,0.2,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk010/checkpoints/msgca_epoch_13.pt,0.009680950020797432,-0.010965244427298626,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.02691506698870416,-0.023580827898267875,-0.007935699375962946,-0.12259041683919192,0.030088035481841024,0.008422403280878954,0.01312552910646203,0.027788856987996047,-0.011980088335602823,-0.013808400685643263,0.026509990509355097,0.1467835698175859,0.03776299926970206,-0.010965244427298626,0.010450234997985064,0.020354228785629848,0.7088607594936709,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,0.009680950020797432,0.030088035481841024,0.008422403280878954,0.01312552910646203,0.016076329702328775,1.0
r020_top10_topk010,0.2,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk010/checkpoints/msgca_epoch_6.pt,-0.011668285772062477,-0.018065777008875017,-0.04206812381744385,-0.022230803966522217,0.013384461402893066,0.11899471282958984,-0.012218536879420316,-0.012728473622762304,-0.006537437043637073,-0.1057502840032285,0.05780156387159319,0.0040823307875474946,0.01744890135110655,-0.0840223793218342,0.01573344005414934,-0.018148473178974722,0.030833362753999616,0.03497233350775564,0.01992211766590457,-0.018065777008875017,0.0004626516028783962,0.01036664539052318,0.5189873417721519,0.6666666666666666,0.6499999999999999,0.6444444444444444,0.6045454545454544,-0.011668285772062477,0.05780156387159319,0.0040823307875474946,0.01744890135110655,0.014781144581381599,1.0
