run,r_value,epoch,checkpoint,window,window_start,window_end,start_date,end_date,day_count,top_n,daily_replace_k,score_variant,score_weight_y,score_weight_return,score_weight_direction,score_weight_cap,cap_min_pct,cap_bonus,exclude_st,exclude_bj,period_return,period_excess_equal,market_equal_period_return,sharpe,max_drawdown,turnover_mean,rolling_return_mean,rolling_excess_equal_mean,rolling_return_median,rolling_win_rate,rolling_return_min,market_equal_rolling_mean,market_equal_rolling_win_rate,competition_score,recent_window_count,latest_window_return,recent_return_mean,recent_return_min,recent_win_rate
r020_top10_topk008,0.2,1,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_1.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.011844241211588558,-0.1308389540411784,0.11899471282958984,-0.05302368313506402,-0.11466207075094048,0.6045454545454544,-0.009011639284622033,-0.01891563307226682,-0.012894573882773597,0.31645569620253167,-0.055356209321343997,0.009903993787644784,0.6582278481012658,-0.038447395881135854,5,0.001610042451772431,-0.014169486075462178,-0.027024582351322546,0.2
r020_top10_topk008,0.2,2,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_2.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.030062173696096317,-0.14905688652568616,0.11899471282958984,-0.25362666889362045,-0.12792009913763014,0.6045454545454544,-0.008299904321956394,-0.01820389810960118,-0.006442263828376316,0.4430379746835443,-0.09185266557521954,0.009903993787644784,0.6582278481012658,-0.03531014842242169,5,-0.007373987746412514,0.0043407800507685446,-0.018398650178029663,0.6
r020_top10_topk008,0.2,3,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_3.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.09426170564286718,-0.21325641847245702,0.11899471282958984,-1.2038262698337068,-0.16044146160250072,0.6045454545454544,-0.009803662974196737,-0.01970765676184152,-0.00965413181859609,0.31645569620253167,-0.06613438434444197,0.009903993787644784,0.6582278481012658,-0.04331196646584703,5,0.010545169761399631,0.019393425815893005,-0.0071179304812628574,0.8
r020_top10_topk008,0.2,4,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_4.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.03749841700395673,-0.08149629582563311,0.11899471282958984,0.5832837148132204,-0.0989268009269828,0.6045454545454544,-0.00028329672936949275,-0.010187290517014277,0.002411619593750469,0.5063291139240507,-0.07270784338038527,0.009903993787644784,0.6582278481012658,-0.021398082273302785,5,-0.031112083565576154,0.001199306809652545,-0.031112083565576154,0.6
r020_top10_topk008,0.2,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_5.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.04642536537861308,-0.07256934745097676,0.11899471282958984,0.6658968142014632,-0.10100336232516016,0.6045454545454544,0.008028087104247374,-0.00187590668339741,-0.0006704160380666124,0.4810126582278481,-0.07738525438762822,0.009903993787644784,0.6582278481012658,-0.002760914877136403,5,-0.010555341232991289,0.055735435397617474,-0.010555341232991289,0.8
r020_top10_topk008,0.2,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_6.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.016001718527394626,-0.10299299430219522,0.11899471282958984,0.3142267400053139,-0.11444651509541093,0.6045454545454544,0.009526195955959773,-0.0003777978316850117,-0.002085838243087279,0.45569620253164556,-0.07266920449660497,0.009903993787644784,0.6582278481012658,-0.015339490087023521,5,-0.018065777008875017,0.02068467316073752,-0.018065777008875017,0.6
r020_top10_topk008,0.2,7,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_7.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.037959956529247885,-0.15695466935883773,0.11899471282958984,-0.29803059165378576,-0.13674644301968053,0.6045454545454544,0.005884392773513483,-0.004019601014131301,0.0021207106479397275,0.5569620253164557,-0.08233867090238134,0.009903993787644784,0.6582278481012658,-0.024480417366095193,5,-0.050980412609055725,0.018586939326805108,-0.050980412609055725,0.6
r020_top10_topk008,0.2,8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_8.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.006675586928559629,-0.12567029975814947,0.11899471282958984,0.13279083084697194,-0.13322994658267906,0.6045454545454544,0.015864774079290184,0.005960780291645399,0.020018172037537196,0.6582278481012658,-0.1024928037991314,0.009903993787644784,0.6582278481012658,0.0009342870937402523,5,-0.0012433908738299637,0.08031793896696986,-0.0012433908738299637,0.8
r020_top10_topk008,0.2,9,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_9.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,0.004378411421764206,-0.11461630140782564,0.11899471282958984,0.21477507361884238,-0.20247196991484806,0.6045454545454544,0.009077091928419816,-0.0008269018592249686,-0.0022840228778453486,0.4936708860759494,-0.11221352342468316,0.009903993787644784,0.6582278481012658,-0.012063715884006477,5,-0.006089958074438351,0.07311631626164845,-0.006089958074438351,0.8
r020_top10_topk008,0.2,10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_r020_top10_strong_ablation/runs/r020_top10_topk008/checkpoints/msgca_epoch_10.pt,val2026_strict,2026-01-01,2026-05-20,2026-01-05,2026-05-20,88,10,3,weighted,0.25,1.5,0.5,0.75,0.0,0.0,True,True,-0.021977601504237443,-0.1409723143338273,0.11899471282958984,-0.011078896035375064,-0.20943638560148814,0.6045454545454544,0.0074528807677125735,-0.002451113019932211,-0.006297666238333943,0.4810126582278481,-0.09801058621278835,0.009903993787644784,0.6582278481012658,-0.01816875679185065,5,-0.011703906386609009,0.06610391774280847,-0.011703906386609009,0.8
