variant,rank,stock_code,stock_name,industry,y_score,raw_y_score,final_score,return_pred,direction_prob,strict_theme_strength,strict_theme_hp,strict_tr,strict_hp,strict_oh,strict_br,strict_mf
strict_theme_s2,29.0,600188.SH,兖矿能源,煤炭开采,2.6753486609609327,-1.1199293,-1.8965197,-0.0026617255,0.4389191,3.3938290350316827,0.0,3.0914551322434902,0.0,0.9998786210670373,0.006701788765387762,0.8828758340171019
strict_theme_s2,30.0,600162.SH,香江控股,全国地产,2.6729328647507566,0.5397675,-0.36563295,-0.003377935,0.4095622,4.0,0.0,4.0,0.0,0.9999393028124254,0.001600659392362669,0.07147534518335139
strict_theme_s5_rerank,1.0,688783.SH,西安奕材-U,半导体,3.46708494680674,-1.2941182,-2.0768485,-0.002553395,0.44238,3.965508509973894,4.0,3.9341051841087737,4.0,0.2298989398914579,0.002052408832862223,1.089260646224313
strict_theme_s5_rerank,2.0,688381.SH,帝奥微,半导体,3.3927175866315906,-1.5047458,-2.2511175,-0.0023963219,0.44913608,4.0,4.0,4.0,4.0,0.10048861351732861,0.001849712766119018,0.6623430855485682
strict_theme_s5_rerank,3.0,600367.SH,红星发展,化工原料,3.2645127131876936,-0.7312697,-1.3851135,-0.0022621155,0.45088354,4.0,0.0,4.0,0.0,0.9999495867427708,0.0013933406901055884,0.3493134577111368
strict_theme_s5_rerank,4.0,301577.SZ,美信科技,元器件,3.1473987937829424,-0.38933834,-1.1804254,-0.0022956524,0.42999464,4.0,0.0,4.0,0.0,0.9998432914450947,0.0022123549494589686,0.775285910814627
strict_theme_s5_rerank,5.0,688598.SH,金博股份,矿物制品,3.0530813859819617,-1.498637,-2.208598,-0.0023843553,0.43435404,4.0,4.0,2.3837718585395833,2.2682724141775936,0.6634947709189836,0.012715024335286299,1.3651329066209688
strict_theme_s5_rerank,6.0,300721.SZ,怡达股份,化工原料,2.99200224107753,-1.628257,-2.4222891,-0.0029291064,0.44196206,4.0,4.0,4.0,4.0,0.2688561916662408,0.0014437499114469577,0.27813330381410184
strict_theme_s5_rerank,7.0,603678.SH,火炬电子,元器件,2.933726847688185,-0.17230183,-0.9805005,-0.0029631415,0.42117056,4.0,0.0,4.0,0.0,0.999797977449067,0.0012276531117524575,0.6028451283078953
strict_theme_s5_rerank,8.0,603011.SH,合锻智能,专用机械,2.9074247111544844,-0.6851838,-1.5367775,-0.0028966758,0.41997603,4.0,0.0,3.845746764186254,0.0,0.9998018992771582,0.004448829931243534,1.0770789042376852
strict_theme_s5_rerank,9.0,603931.SH,格林达,化工原料,2.9026886042017632,-1.3501558,-2.180059,-0.0029933378,0.44643158,4.0,2.3181300844100665,4.0,2.2267913193400113,0.33098682648604494,0.0013173037096925865,0.46170020696413583
strict_theme_s5_rerank,10.0,300518.SZ,新迅达,互联网,2.9002182551271956,-1.519801,-2.2647722,-0.0028667394,0.45451766,3.264366272541975,2.690897184271612,3.462433525549447,4.0,0.16621573610873963,0.009025686486678132,0.07578079083141728
strict_theme_s5_rerank,11.0,300319.SZ,麦捷科技,元器件,2.861202089342781,-0.82744056,-1.6411239,-0.0028936937,0.4314918,4.0,0.0,3.6672698572984057,0.0,0.9998900891964363,0.004313476867553842,1.0916029789900334
strict_theme_s5_rerank,12.0,002951.SZ,金时科技,广告包装,2.851551412013803,-0.72120017,-1.5105776,-0.0026065297,0.42838728,3.9584603319624665,0.0,2.0180440513486975,0.0,0.9341850960181172,0.03470538896175745,0.8142248388907979
strict_theme_s5_rerank,13.0,300649.SZ,杭州园林,建筑工程,2.83881666388902,-1.0523374,-1.8839506,-0.0025707185,0.4457564,3.9061145193294293,0.0,4.0,0.0,0.9997046136145575,0.0008797615918295919,1.2699589135266327
strict_theme_s5_rerank,14.0,603895.SH,天永智能,专用机械,2.819844241531844,-1.7291203,-2.5114045,-0.0025455076,0.44960916,4.0,4.0,2.0187304635847325,4.0,0.0793470362707774,0.0588000921801424,-0.5062537084283979
strict_theme_s5_rerank,15.0,301013.SZ,利和兴,专用机械,2.782064694089895,-1.0747201,-1.8580446,-0.0028424533,0.44502282,4.0,0.0,4.0,0.0,0.9997504504894015,0.001003011322179589,1.0074899341535284
strict_theme_s5_rerank,16.0,688515.SH,裕太微-U,半导体,2.753829099352394,-0.9978786,-1.798099,-0.002855259,0.43631575,4.0,0.0,4.0,0.0,0.9999213194566731,0.0012070376588966816,0.6367567404527769
strict_theme_s5_rerank,17.0,300849.SZ,锦盛新材,塑料,2.714311040141039,-0.4501849,-1.270332,-0.002955243,0.426978,3.3189192357932527,0.0,3.2632198143306117,0.0,0.9998724642821947,0.006699402043311909,0.5681889375491818
strict_theme_s5_rerank,18.0,603386.SH,骏亚科技,元器件,2.6848542984727324,-1.0093279,-1.8121842,-0.0024497425,0.42887428,4.0,0.0,2.1665206454122123,0.0,0.9987152359506747,0.022023484888998943,0.848406365822612
strict_theme_s5_rerank,19.0,600188.SH,兖矿能源,煤炭开采,2.6753486609609327,-1.1199293,-1.8965197,-0.0026617255,0.4389191,3.3938290350316827,0.0,3.0914551322434902,0.0,0.9998786210670373,0.006701788765387762,0.8828758340171019
strict_theme_s5_rerank,20.0,600584.SH,长电科技,半导体,2.639928899249429,-1.6483296,-2.4142625,-0.0029427065,0.45381182,4.0,1.8500957268800964,4.0,0.908625493200842,0.625875183485269,0.0013158093217986516,0.46397334613632074
strict_theme_s5_rerank,21.0,603439.SH,三力制药,中成药,2.6282618999859975,-1.3125979,-2.0864656,-0.0027849404,0.44921306,3.9996467640370748,0.0,4.0,0.0,0.9460821053783459,0.0016254107839085354,0.9386115003318315
strict_theme_s5_rerank,22.0,603990.SH,麦迪科技,软件服务,2.609413944800386,-1.1530837,-1.9346075,-0.0028379401,0.44753882,3.7025700551281493,0.0,4.0,0.0,0.9996914322404812,0.0014423524355321638,0.2800729378247092
strict_theme_s5_rerank,23.0,300566.SZ,激智科技,元器件,2.5975535516426684,-1.3527931,-2.1305878,-0.0026448602,0.44596705,4.0,0.0,2.9232554285927903,0.0,0.9934039677759123,0.004683293059344175,1.7175171667979015
strict_theme_s5_rerank,24.0,688531.SH,日联科技,专用机械,2.5858499742925565,-1.3378179,-2.1501496,-0.0029851776,0.45221177,4.0,0.0,4.0,0.0,0.9581645230092514,0.0009068702588908377,1.2092077611764516
strict_theme_s5_rerank,25.0,300853.SZ,申昊科技,专用机械,2.5831730944817997,-1.591943,-2.35346,-0.002388996,0.4543581,4.0,0.0,3.92506906816755,0.0,0.6987139630772825,0.004773208704376764,0.8743646165544917
strict_theme_s5_rerank,26.0,603779.SH,威龙股份,红黄酒,2.566022590399068,-1.5386692,-2.2535172,-0.0026999451,0.45046607,4.0,0.0,4.0,0.0,0.016138532549294284,0.0025717648932275486,0.5636682717303868
strict_theme_s5_rerank,27.0,600121.SH,郑州煤电,煤炭开采,2.5653923430659202,-1.0525943,-1.8373088,-0.002779238,0.44013423,3.4440992555099843,0.0,3.311771239008115,0.0,0.999950875928091,0.00948118136632535,0.2629591496251841
strict_theme_s5_rerank,28.0,300106.SZ,西部牧业,乳制品,2.539996501823411,-1.6385311,-2.4613109,-0.0027821697,0.45458362,3.979593426434263,0.9717279298195627,2.2976046558125383,1.540994976872796,0.07514114778604063,0.018054912179114885,1.4012400708606245
strict_theme_s5_rerank,29.0,300323.SZ,华灿光电,半导体,2.5316997427629806,-1.5401934,-2.2542021,-0.002625633,0.4377831,3.9422921490268026,0.0,3.6607825178853335,0.0,0.9898519123617328,0.0026377654512041,1.4010809671427564
strict_theme_s5_rerank,30.0,300554.SZ,三超新材,矿物制品,2.5263568796563076,-1.1609718,-1.928509,-0.0026537776,0.43333697,3.9826623087560784,0.0,1.7854732458842613,0.0,0.9956823599118718,0.030757178025943913,1.4346388421561966
