industry,count,top20,top80,median_rank,mean_score,variant
纺织机械,10,0,0,1535.0,0.294994980096817,direct_multihead
综合类,16,0,0,2190.0,-0.09939967095851898,direct_multihead
航空,50,0,1,2838.5,-0.13505473732948303,direct_multihead
船舶,11,0,0,2425.0,-0.126868337392807,direct_multihead
装修装饰,18,0,0,2261.5,0.037205763161182404,direct_multihead
证券,50,1,1,4028.0,-0.49813270568847656,direct_multihead
超市连锁,8,0,1,2361.0,0.1915430873632431,direct_multihead
路桥,19,0,0,3479.0,-0.3296889662742615,direct_multihead
软件服务,241,0,2,2435.0,0.014328655786812305,direct_multihead
软饮料,9,0,0,1673.0,0.2742947041988373,direct_multihead
轻工机械,6,0,0,3043.5,-0.466277152299881,direct_multihead
运输设备,44,0,0,2350.5,-0.06761787831783295,direct_multihead
通信设备,124,0,1,2035.0,0.18257421255111694,direct_multihead
造纸,32,0,0,3046.5,-0.19073443114757538,direct_multihead
酒店餐饮,8,0,0,3787.0,-0.7419521808624268,direct_multihead
钢加工,22,0,0,1903.0,0.002112448215484619,direct_multihead
铁路,7,0,0,3536.0,-0.6491950750350952,direct_multihead
铅锌,13,0,0,2770.0,0.012391922995448112,direct_multihead
铜,18,0,0,1390.0,0.48503050208091736,direct_multihead
铝,29,0,0,3084.0,-0.3533293306827545,direct_multihead
银行,42,0,0,4351.0,-0.9000297784805298,direct_multihead
陶瓷,5,0,0,1203.0,0.6981948018074036,direct_multihead
食品,79,0,1,3341.0,-0.344866007566452,direct_multihead
饲料,21,0,0,3447.0,-0.4733094573020935,direct_multihead
黄金,10,0,0,3386.5,-0.5429459810256958,direct_multihead
IT设备,68,0,0,2901.5,-0.18261973184935096,strict_s5_soft
专用机械,250,2,7,1856.5,0.17333853200273613,strict_s5_soft
中成药,60,0,1,3658.5,-0.4601262905123606,strict_s5_soft
乳制品,19,0,1,2900.0,-0.26650379796158163,strict_s5_soft
互联网,75,1,1,3161.0,-0.22941198462882706,strict_s5_soft
仓储物流,43,0,0,2728.0,-0.32365048811459046,strict_s5_soft
供气供热,43,0,0,2025.0,0.21187986241506193,strict_s5_soft
保险,5,0,0,4537.0,-0.972983623938392,strict_s5_soft
元器件,276,3,11,1052.5,0.6469182057176355,strict_s5_soft
全国地产,24,0,1,2842.0,-0.21307662759482093,strict_s5_soft
公共交通,7,0,0,2783.0,-0.3155782105467636,strict_s5_soft
公路,2,0,0,2870.5,-0.237579201471811,strict_s5_soft
其他商业,11,0,0,2220.0,-0.04137647728231106,strict_s5_soft
其他建材,27,0,1,2580.0,-0.18175933505678882,strict_s5_soft
农业综合,37,0,0,3915.0,-0.6008501519059143,strict_s5_soft
农用机械,10,0,0,2907.5,-0.5082909205498599,strict_s5_soft
农药化肥,52,0,0,3718.5,-0.6884176390406473,strict_s5_soft
出版业,28,0,0,3544.0,-0.5494344535330785,strict_s5_soft
化学制药,135,0,0,3682.0,-0.5665578034911889,strict_s5_soft
化工原料,231,4,5,2337.0,0.0250878189054563,strict_s5_soft
化工机械,12,0,0,3113.0,-0.493158826491573,strict_s5_soft
化纤,31,0,0,3480.0,-0.44631352622483317,strict_s5_soft
区域地产,38,0,0,2701.0,-0.12287052800061887,strict_s5_soft
医疗保健,164,0,1,3258.5,-0.40164892994377155,strict_s5_soft
医药商业,35,0,0,3640.0,-0.5679107108269708,strict_s5_soft
半导体,186,3,8,857.5,0.8819049746993617,strict_s5_soft
商品城,4,0,0,3256.5,-0.23552881399871262,strict_s5_soft
商贸代理,14,0,0,3029.0,-0.2106157297210162,strict_s5_soft
啤酒,6,0,0,3851.0,-0.7181070445112865,strict_s5_soft
园区开发,12,0,0,3165.0,-0.44457320534178657,strict_s5_soft
塑料,64,1,3,1621.5,0.44793224287210437,strict_s5_soft
多元金融,22,0,0,3296.0,-0.4016329619627237,strict_s5_soft
家居用品,62,0,0,2567.5,-0.12066154225953216,strict_s5_soft
家用电器,79,0,2,2379.0,-0.1246676795142298,strict_s5_soft
小金属,57,0,1,2264.0,0.032157289950108886,strict_s5_soft
工程机械,32,0,0,2774.0,-0.21353438882665754,strict_s5_soft
广告包装,48,1,1,3308.5,-0.44373090577206814,strict_s5_soft
建筑工程,106,1,2,2852.5,-0.15839262686339492,strict_s5_soft
影视音像,32,0,1,3060.5,-0.17391084281798064,strict_s5_soft
房产服务,11,0,0,2478.0,-0.1676818000883232,strict_s5_soft
批发业,5,0,0,3345.0,-0.5748109032900599,strict_s5_soft
摩托车,11,0,0,3087.0,-0.3674098628829379,strict_s5_soft
文教休闲,46,0,1,2951.5,-0.3198512239501362,strict_s5_soft
新型电力,30,0,0,1505.0,0.22067291962157434,strict_s5_soft
旅游景点,17,0,0,3550.0,-0.4746492518887772,strict_s5_soft
旅游服务,7,0,0,3326.0,-0.5388888054074761,strict_s5_soft
日用化工,18,0,0,3074.5,-0.31155517769982627,strict_s5_soft
普钢,25,0,0,3022.0,-0.6088116226218319,strict_s5_soft
服饰,56,0,1,2716.5,-0.20610515828681195,strict_s5_soft
机场,5,0,0,4095.0,-0.867274242843313,strict_s5_soft
机床制造,21,0,0,1078.0,0.4923074890421373,strict_s5_soft
机械基件,112,0,1,1796.0,0.24222902565362506,strict_s5_soft
林业,3,0,0,2698.0,-0.3925398616316588,strict_s5_soft
染料涂料,32,0,1,1928.0,0.2554701090645876,strict_s5_soft
橡胶,12,0,0,2310.0,-0.10550688048556962,strict_s5_soft
水力发电,22,0,1,1092.5,0.5782281934133593,strict_s5_soft
水务,14,0,0,2666.5,-0.27503002988514486,strict_s5_soft
水泥,22,0,0,3251.5,-0.40668248076729774,strict_s5_soft
水运,18,0,0,3308.5,-0.6555951506097295,strict_s5_soft
汽车整车,22,0,0,3876.0,-0.7949176878185185,strict_s5_soft
汽车服务,8,0,0,3530.0,-0.46449520790196797,strict_s5_soft
汽车配件,231,0,2,2631.0,-0.09960396037503588,strict_s5_soft
渔业,7,0,0,2155.0,-0.09135040764755595,strict_s5_soft
港口,16,0,0,3604.0,-0.45332910838064394,strict_s5_soft
火力发电,31,0,1,1208.0,0.7541287998779928,strict_s5_soft
焦炭加工,7,0,0,1058.0,0.6912885778089438,strict_s5_soft
煤炭开采,25,1,5,751.0,1.0218016445128884,strict_s5_soft
特种钢,10,0,0,4105.0,-0.5304331489851855,strict_s5_soft
环境保护,109,0,2,2240.0,-0.02490900529522816,strict_s5_soft
玻璃,19,0,0,1450.0,0.32583729973935555,strict_s5_soft
生物制药,72,0,0,3283.0,-0.5216826588775987,strict_s5_soft
电信运营,5,0,0,2126.0,0.11035498307575489,strict_s5_soft
电器仪表,85,0,1,1598.0,0.2340559300394454,strict_s5_soft
电器连锁,1,0,0,4779.0,-1.2236252477805065,strict_s5_soft
电气设备,306,0,6,2132.0,0.05011643305464634,strict_s5_soft
白酒,19,0,0,2825.0,-0.18317001203742447,strict_s5_soft
百货,34,1,2,3115.5,-0.3249646773251431,strict_s5_soft
石油加工,12,0,0,2172.0,-0.17366415872114674,strict_s5_soft
石油开采,17,0,0,2793.0,-0.44310802412003314,strict_s5_soft
石油贸易,4,0,0,2144.5,0.08662891826871369,strict_s5_soft
矿物制品,31,1,2,1498.0,0.5483934036762118,strict_s5_soft
种植业,17,0,0,2086.0,-0.24578042553003274,strict_s5_soft
空运,8,0,0,2497.0,-0.29564027935754233,strict_s5_soft
红黄酒,6,0,1,4477.5,-0.1422740823469427,strict_s5_soft
纺织,39,0,0,3562.0,-0.4517742587361904,strict_s5_soft
纺织机械,10,0,0,1815.0,0.15068834017749894,strict_s5_soft
综合类,16,0,0,2322.0,-0.19642028599914205,strict_s5_soft
航空,50,0,1,2727.5,-0.22157869836171387,strict_s5_soft
船舶,11,0,0,2394.0,-0.196055693312562,strict_s5_soft
装修装饰,18,0,1,2105.5,0.0131027846820209,strict_s5_soft
证券,50,1,1,3523.0,-0.4545868116262926,strict_s5_soft
超市连锁,8,0,0,2632.5,-0.012114092951127982,strict_s5_soft
路桥,19,0,0,2217.0,-0.24053577508676222,strict_s5_soft
软件服务,241,0,3,2541.0,-0.14108427131977597,strict_s5_soft
软饮料,9,0,0,1216.0,0.2876069717396912,strict_s5_soft
轻工机械,6,0,0,2864.0,-0.4487114857296582,strict_s5_soft
运输设备,44,0,0,2612.5,-0.1651051353033113,strict_s5_soft
通信设备,124,0,0,1854.0,0.12670655163859196,strict_s5_soft
造纸,32,0,0,3502.0,-0.3586930776562596,strict_s5_soft
酒店餐饮,8,0,0,3999.5,-0.8593653135111821,strict_s5_soft
钢加工,22,0,0,2090.5,-0.049690674107661696,strict_s5_soft
铁路,7,0,0,3434.0,-0.5824500827480571,strict_s5_soft
铅锌,13,0,0,2591.0,-0.15128882862012138,strict_s5_soft
铜,18,0,0,1391.5,0.3891368860734507,strict_s5_soft
铝,29,0,0,3196.0,-0.3477008954885091,strict_s5_soft
银行,42,0,0,3479.0,-0.6400978534147208,strict_s5_soft
陶瓷,5,0,0,1086.0,0.64226844689974,strict_s5_soft
食品,79,0,0,3168.0,-0.434660870517893,strict_s5_soft
饲料,21,0,0,3406.0,-0.554856790221165,strict_s5_soft
黄金,10,0,0,3442.5,-0.670766909215753,strict_s5_soft
IT设备,68,0,0,2961.5,-0.13703138699285813,strict_theme_s2
专用机械,250,4,8,1881.0,0.28881259350248967,strict_theme_s2
中成药,60,0,1,3480.5,-0.36664186377305963,strict_theme_s2
乳制品,19,0,1,2920.0,-0.19925101057427147,strict_theme_s2
互联网,75,1,1,3264.0,-0.21448729906837427,strict_theme_s2
仓储物流,43,0,0,2711.0,-0.2627555192903895,strict_theme_s2
供气供热,43,0,0,2039.0,0.2947797568217449,strict_theme_s2
保险,5,0,0,4425.0,-0.8853119749908338,strict_theme_s2
元器件,276,3,14,984.0,0.8520719665491618,strict_theme_s2
全国地产,24,0,1,2830.0,-0.1423446930269806,strict_theme_s2
公共交通,7,0,0,2805.0,-0.2706800834918706,strict_theme_s2
公路,2,0,0,2841.5,-0.09659038637548745,strict_theme_s2
其他商业,11,0,0,2279.0,0.005205527229691017,strict_theme_s2
其他建材,27,0,1,2662.0,-0.11276592521431235,strict_theme_s2
