run,r_value,epoch,checkpoint,same_calendar_2025_market_equal_period_return,same_comp_2025_market_equal_period_return,same_calendar_2025_max_drawdown,same_comp_2025_max_drawdown,same_calendar_2025_period_excess_equal,same_comp_2025_period_excess_equal,same_calendar_2025_period_return,same_comp_2025_period_return,same_calendar_2025_turnover_mean,same_comp_2025_turnover_mean,selection_score,selection_score_weight_sum
r030_topk005_open,0.3,1,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_1.pt,-0.022230803966522217,0.013384461402893066,-0.028557566187372374,-0.037015633307487916,-0.010888700420562225,-0.04223571562265371,-0.03311950438708444,-0.028851254219760647,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,2,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_2.pt,-0.022230803966522217,0.013384461402893066,-0.03807009110203785,-0.03166558013648091,-0.016011516753396515,-0.03893598958820965,-0.03824232071991873,-0.025551528185316585,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,3,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_3.pt,-0.022230803966522217,0.013384461402893066,-0.022320245416916906,-0.026104314222103242,0.005201398786693456,-0.032674220294233836,-0.01702940517982876,-0.01928975889134077,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,4,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_4.pt,-0.022230803966522217,0.013384461402893066,-0.015126348836494552,-0.026495674246217127,0.007339078531353294,-0.034064144384825634,-0.014891725435168923,-0.020679682981932568,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_5.pt,-0.022230803966522217,0.013384461402893066,-0.035253938767164206,-0.011389409640099823,-0.010667830719926386,-0.013714825481226711,-0.0328986346864486,-0.0003303640783336448,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,6,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_6.pt,-0.022230803966522217,0.013384461402893066,-0.01703726913036685,-0.03375381616225137,-0.0006407222336205498,-0.039205613119410065,-0.022871526200142767,-0.025821151716517,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,7,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_7.pt,-0.022230803966522217,0.013384461402893066,-0.017548413222570947,-0.012152847515531473,0.004091935812418845,-0.017535720885178407,-0.01813886815410337,-0.004151259482285341,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_8.pt,-0.022230803966522217,0.013384461402893066,-0.012128895144710272,-0.023355829632351277,0.006311659614561038,-0.03148927025411785,-0.01591914435196118,-0.018104808851224785,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,9,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_9.pt,-0.022230803966522217,0.013384461402893066,-0.02261708861434253,-0.02942500695712935,0.002948704420209891,-0.03364230076270647,-0.019282099546312326,-0.0202578393598134,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_10.pt,-0.022230803966522217,0.013384461402893066,-0.022968340715158186,-0.027091697836107986,-0.0038692753296403204,-0.033935175979573184,-0.026100079296162537,-0.020550714576680118,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,11,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_11.pt,-0.022230803966522217,0.013384461402893066,-0.020951537742474824,-0.024003139574491072,-0.00033919700404405617,-0.025895668313379194,-0.022570000970566273,-0.012511206910486128,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,12,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_12.pt,-0.022230803966522217,0.013384461402893066,-0.03395724018307433,-0.02356582317622724,-0.008073988315910663,-0.027187483018916825,-0.03030479228243288,-0.013803021616023758,0.6499999999999999,0.6444444444444444,0.0,0.0
r030_topk005_open,0.3,13,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260601_loss_ablation/runs/r030_topk005_open/checkpoints/msgca_epoch_13.pt,-0.022230803966522217,0.013384461402893066,-0.015278879251431121,-0.02622565900817775,0.010678929184551489,-0.00543977854592903,-0.011551874781970728,0.007944682856964036,0.6499999999999999,0.6444444444444444,0.0,0.0
