epoch,stage,stage_epoch,trainable,train_loss,train_rank_loss,train_topk_loss,train_return_loss,train_secondary_return_loss,train_direction_loss,train_combined_topk_loss,train_consistency_loss,train_context_score_topk_loss,train_trend_adjusted_topk_loss,train_gate_entropy,train_rank_aux_y_score_top20_loss,train_topk_aux_final_score_k10_loss,train_topk_aux_final_score_k40_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,return_pred_open_mse,return_pred_open_mae,return_pred_open_bias,return_pred_open_pearson,return_pred_open_spearman,return_pred_open_direction_accuracy,return_pred_vwap_mse,return_pred_vwap_mae,return_pred_vwap_bias,return_pred_vwap_pearson,return_pred_vwap_spearman,return_pred_vwap_direction_accuracy,return_pred_blend_mse,return_pred_blend_mae,return_pred_blend_bias,return_pred_blend_pearson,return_pred_blend_spearman,return_pred_blend_direction_accuracy,direction_pred_bce,direction_pred_accuracy,direction_pred_up_rate,direction_label_up_rate,top10_return_mean,top20_return_mean,top40_return_mean,competition_rolling_return_min,competition_rolling_return_mean,competition_recent_return_mean,competition_recent_return_min,competition_rolling_excess_equal_mean,competition_turnover_mean,competition_market_equal_period_return,competition_latest_window_return,competition_rolling_win_rate,competition_max_drawdown,competition_period_return,competition_score,competition_period_excess_equal,competition_sharpe
1,a2_l1_only_theme_ctx050,1,all,0.1388655276579882,0.19885952017758438,0.002824381345530066,0.0024131790898178976,0.0023983616489870996,0.6904311799666263,0.0,0.0,0.003503648443281839,0.0,1.081226334633583,0.2018957900704532,0.002311562325472008,0.002008195389270467,-0.03337581317682005,0.12010885391751074,-0.2778797073506516,0.487417774740609,-0.002139491769908504,77,0.008640151470899582,0.06293433159589767,0.008813119493424892,-0.004173241052455844,-0.012026838125569272,0.4955190167919499,0.008364572189748287,0.06187564879655838,0.008963475003838539,-0.0074739729742815805,-0.012782223654763062,0.49776211665162573,0.008640151470899582,0.06293433159589767,0.008813119493424892,-0.004173241052455844,-0.012026838125569272,0.4955190167919499,0.6983611822756061,0.5101513309928586,0.003268144330434692,0.4895695856525073,-0.0015512077030483875,-0.002139491769908504,-0.001618069514190754,-0.12242567416871886,-0.012972403631749556,0.005769275526449835,-0.024411966741984203,-0.018312411806421403,0.5064935064935064,0.09432899951934814,0.04288304600224113,0.4117647058823529,-0.21571171664969024,-0.008229728170147887,-0.04049931389058514,-0.10255872768949603,0.14796062007227592
2,a2_l1_only_theme_ctx050,2,all,0.1339557379826228,0.19197425755369024,0.002411547649326365,0.0015548394650073964,0.0015362737055022648,0.6885311397964495,0.0,0.0,0.0028056818525278924,0.0,1.0818045726588643,0.19251281579516788,0.001979482973934129,0.0016772877896029728,-0.03356541597840372,0.11710800560774,-0.28661931184135275,0.48800724051768657,-0.002058817527835959,77,0.004488199483603239,0.04950143024325371,-0.015681644901633263,-0.002370611736426099,0.0031174724380866035,0.5013197773592977,0.004199192393571138,0.04811987653374672,-0.015531286597251892,-0.004755647535900168,0.0012407028846490719,0.5034011653686248,0.004488199483603239,0.04950143024325371,-0.015681644901633263,-0.002370611736426099,0.0031174724380866035,0.5013197773592977,0.6968962138587474,0.5102843520310487,0.0026656372751031566,0.4895695856525073,-0.0011125430631052171,-0.002058817527835959,-0.0017092036825677307,-0.08533883435850542,-0.0034392654329830122,0.018339120263626375,-0.015326145053823459,-0.00877927360765486,0.5064935064935064,0.09432899951934814,0.0015055538174397753,0.5,-0.14646405803412677,0.09122613784982359,-0.014360921292239448,-0.0031028616695245592,0.966879501316322
3,a2_l1_only_theme_ctx050,3,all,0.13220624443693957,0.18968645096035688,0.00187260110640994,0.0012573474752491974,0.0012350242867999507,0.6881354085272239,0.0,0.0,0.002042911656936464,0.0,1.085177912369695,0.19004137362800252,0.0012431624303341654,0.0013541382139244705,-0.034329730545395544,0.1135867293285069,-0.3022336389853229,0.48927485276396854,-0.0010590518404451478,77,0.003026117105036974,0.040749941021203995,-0.0017996338428929448,0.0024093154680774435,0.005789203348036208,0.5011424159750442,0.0027340741362422705,0.0391223207116127,-0.001649279147386551,0.003300695195433263,0.008271181278279248,0.5040793118378291,0.003026117105036974,0.040749941021203995,-0.0017996338428929448,0.0024093154680774435,0.005789203348036208,0.5011424159750442,0.696646293746721,0.5104121565579371,0.001750139541677317,0.4895695856525073,-0.002366431409722896,-0.0010590518404451478,-0.0005905927860968912,-0.11550800920382132,-0.0035916367085555355,0.05861337540513323,0.006943530079901894,-0.008931644883227383,0.5064935064935064,0.09432899951934814,0.04600178515193387,0.45588235294117646,-0.20226273533749017,0.09155090549548328,-0.01036472914478623,-0.0027780940238648633,0.9453905512228493
4,a2_l1_only_theme_ctx050,4,all,0.1305392054054862,0.18725107204149302,0.0016943855325215805,0.0011126857778943281,0.0010874878695720325,0.6879503469806759,0.0,0.0,0.0017644132249900225,0.0,1.0866336366441265,0.18734240732766938,0.0009788723669073524,0.0011719549889813313,-0.0350016067692784,0.11094336336213782,-0.31549076671695325,0.49052681547634575,-0.00035069413655498,77,0.0030012375209480524,0.04013694450259209,-0.00015485672338400036,0.0019998035424029777,0.0010263246236204252,0.4996270194419376,0.0027053742669522762,0.038494110107421875,-4.502122465055436e-06,0.004597267828965288,0.002378167132624807,0.501875335812915,0.0030012375209480524,0.04013694450259209,-0.00015485672338400036,0.0019998035424029777,0.0010263246236204252,0.4996270194419376,0.6965292839346037,0.5104121565579371,0.0018231706998993213,0.4895695856525073,-0.0022964135913008995,-0.00035069413655498,0.00011708657748622263,-0.14123647410549944,0.0024527272728342465,0.11152372282610008,0.07983088422135798,-0.0028872809018376,0.5064935064935064,0.09432899951934814,0.08658577394563838,0.4117647058823529,-0.23292496932606876,0.2041760844605951,0.01394237592728495,0.10984708494124695,1.7277104801499636
5,a2_l1_only_theme_ctx050,5,all,0.12941651274529606,0.18578378931170283,0.0013174724757344927,0.0011454673657049065,0.0011220322680682068,0.6879225065246479,0.0,0.0,0.0012321894961489302,0.0,1.0867786890903313,0.1856754431528439,0.0005160746618358746,0.0009821251828214285,-0.03626447367205984,0.11071676810562114,-0.3275427407478549,0.4898851845862524,-9.029619463767808e-05,77,0.005327807739377022,0.04906745254993439,0.0014967054594308138,0.013320672104574407,0.022948152754916663,0.5070240324675663,0.005029854364693165,0.04772736132144928,0.0016470594564452767,0.017913567513594676,0.024638567611276627,0.5073109405891528,0.005327807739377022,0.04906745254993439,0.0014967054594308138,0.013320672104574407,0.022948152754916663,0.5070240324675663,0.6951499761228431,0.5104225895805403,0.0017762220981851757,0.4895695856525073,-0.00022805796621681808,-9.029619463767808e-05,0.0010756500806245958,-0.13253143523958455,-0.0034410737301460307,0.104309878245057,0.04620536573331857,-0.008781081904817876,0.5064935064935064,0.09432899951934814,0.04620536573331857,0.38235294117647056,-0.2199306213435651,0.11414231484102011,0.0008992644196190724,0.019813315321671965,1.0976023477225954
6,a2_l1_only_theme_ctx050,6,all,0.12871720333018502,0.1848281958546619,0.0011645291474625345,0.0011222119366513317,0.0010988390250783798,0.6879990078407993,0.0,0.0,0.0010231539711952013,0.0,1.0840595630844458,0.18450603174103786,0.00019802659661045902,0.0009214273271617644,-0.03676435361867477,0.11053436922188813,-0.33260563096780815,0.48976520482631625,0.00018811715591408602,77,0.004443345125764608,0.04159422963857651,-0.0154014453291893,0.014195208999068227,0.024297214200629542,0.5087272234075295,0.004143894650042057,0.03997141495347023,-0.015251089818775654,0.018149229980445054,0.02388443619831868,0.5085707280684824,0.004443345125764608,0.04159422963857651,-0.0154014453291893,0.014195208999068227,0.024297214200629542,0.5087272234075295,0.6974752979516823,0.5104043317909849,0.0015962524582809508,0.4895695856525073,-6.850537426083525e-05,0.00018811715591408602,-0.00012267421395820263,-0.13089117986479992,-0.0026839999543564457,0.08784637799459158,0.031186364021970725,-0.008024008129028292,0.5064935064935064,0.09432899951934814,0.031186364021970725,0.47058823529411764,-0.23144631763877765,0.05481450786769404,-0.0090022174519904,-0.039514491651654104,0.6454748953356462
7,a2_l1_only_theme_ctx050,7,all,0.12819245052340278,0.18412557899022255,0.0009164020561882014,0.0010253458669334606,0.000999777628659211,0.6880982851126112,0.0,0.0,0.0012191514930272066,0.0,1.0796097589282867,0.18389784125912673,-0.0001314845771527136,0.0007476114032669744,-0.03763701253100664,0.1106037795432922,-0.3402868571618285,0.49008341201571215,-0.0003879246515125133,77,0.004345844034105539,0.04256395995616913,-0.02136160247027874,0.007829745269854462,0.021091024051738218,0.5075978487107392,0.004051105584949255,0.04114594683051109,-0.02121124230325222,0.008521647775646334,0.014339947021070927,0.5032681443304347,0.004345844034105539,0.04256395995616913,-0.02136160247027874,0.007829745269854462,0.021091024051738218,0.5075978487107392,0.6980664707948695,0.5103886822570801,0.0014814892096463726,0.4895695856525073,0.0007682302375188,-0.0003879246515125133,-0.0005961534917840656,-0.1435891359829019,0.004289176997206584,0.12063539778641677,0.08605850465677234,-0.0010508311774652624,0.5064935064935064,0.09432899951934814,0.1056756592281971,0.5,-0.2242863747842656,0.22582756117108804,0.021141702082174994,0.1314985616517399,1.9158150100346003
8,a2_l1_only_theme_ctx050,8,all,0.12739142395770853,0.1830212856791453,0.0008339731262466723,0.0010271635448659885,0.001002659553160651,0.6882941080865753,0.0,0.0,0.001022678573638101,0.0,1.067517631856605,0.18218056228299082,-0.00034599922427615965,0.0006969434374532187,-0.0359482472204441,0.1096934403017548,-0.3277155600330736,0.4908137235979322,-2.5038677721296424e-05,77,0.0030796967912465334,0.03631982579827309,-0.018550870940089226,0.010710303364459125,0.029846722511602454,0.5115702220668861,0.002789062913507223,0.034702423959970474,-0.018400514498353004,0.010276905080731657,0.022961773181944423,0.5079551797348969,0.0030796967912465334,0.03631982579827309,-0.018550870940089226,0.010710303364459125,0.029846722511602454,0.5115702220668861,0.6968707446792091,0.5103860740014293,0.0006285896118393941,0.4895695856525073,0.0009525588406200745,-2.5038677721296424e-05,-0.000430388721205028,-0.1498909803459273,0.0008110770776112115,0.09381786453188194,0.0683632796692073,-0.0045289310970606355,0.5064935064935064,0.09432899951934814,0.0782826438671973,0.5294117647058824,-0.18433927369671022,0.24875519984799688,0.01910595543626908,0.15442620032864873,2.0498268342652417
9,a2_l1_only_theme_ctx050,9,all,0.12686796541193643,0.1823507247732765,0.0005727194899858196,0.0008602999596132416,0.0008320701537747539,0.6881591869565302,0.0,0.0,0.000934457327852126,0.0,1.049979743921034,0.18156759813208662,-0.0007639280067291659,0.000562142985837294,-0.03584146727376516,0.10936988120750293,-0.327708751971346,0.4906780943040913,0.0011967949156480079,77,0.0030366540886461735,0.03661935031414032,-0.021379107609391212,0.007719650719117069,0.029959492586308284,0.5129421645391995,0.002749255858361721,0.03509409353137016,-0.021228758618235588,0.004744845069530059,0.017745625501603322,0.5051434801433498,0.0030366540886461735,0.03661935031414032,-0.021379107609391212,0.007719650719117069,0.029959492586308284,0.5129421645391995,0.6972022722530493,0.5104434556257467,0.00022170173031679872,0.4895695856525073,0.002885399288486526,0.0011967949156480079,0.0003595142980565789,-0.14967732047282667,-0.008451931740998543,0.07097970280625228,0.028353829744777848,-0.01379193991567039,0.5064935064935064,0.09432899951934814,0.044936739378104607,0.4411764705882353,-0.22584539721770658,0.15429424009771608,-0.00617730111367789,0.05996524057836794,1.3523543019888802
10,a2_l1_only_theme_ctx050,10,all,0.1266102778838795,0.1823774876666111,0.00018116355186698026,0.0007737363030719601,0.0007435217255767842,0.6881676241887044,0.0,0.0,0.0005974956450182473,0.0,1.0274923679546584,0.18078779188007238,-0.0012947331586960382,0.00025610750755010117,-0.035904429600148224,0.10961357362666425,-0.32755459394505343,0.49062853744672635,0.0010387130815296905,77,0.0028382602613419294,0.03633128106594086,-0.01628917083144188,0.008606526293304967,0.033197737096701666,0.5121544713326621,0.002556270221248269,0.03497486189007759,-0.016138814389705658,0.0039875880342237985,0.01813654046489815,0.5038706513857663,0.0028382602613419294,0.03633128106594086,-0.01628917083144188,0.008606526293304967,0.033197737096701666,0.5121544713326621,0.6971953053835358,0.5104225895805403,0.0001278045268885075,0.4895695856525073,0.001754462009888481,0.0010387130815296905,0.0007588125821263469,-0.12084322466512043,0.01017500691431633,0.06247158632048737,0.016202593922030717,0.004834998739644483,0.5064935064935064,0.09432899951934814,0.04070851157768707,0.6764705882352942,-0.11345989808768875,0.22919898986528708,0.023022452091533526,0.13486999034593894,1.9798055784169626
