variant,run_dir,config,validation_rank_ic,validation_icir,validation_topk_return,validation_direction_accuracy,validation_total_return,validation_annual_return,validation_sharpe,validation_max_drawdown,validation_excess_equal_weight,holdout_rank_ic,holdout_icir,holdout_topk_return,holdout_direction_accuracy,holdout_total_return,holdout_annual_return,holdout_sharpe,holdout_max_drawdown,holdout_excess_equal_weight,status
gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520_e5,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/runs/20260531_semantic_resume_softgate_e5_gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/configs/20260531_semantic_resume_softgate_e5/gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520.yaml,-0.0467160053,-0.4773263132,-0.0001257885,0.4869513751,-0.01843619977514399,-0.3470785353232928,-2.959242466385894,-0.02937627005400234,-0.04071891938726557,-0.0467160053,-0.4773263132,-0.0001257885,0.4869513751,-0.01843619977514399,-0.3470785353232928,-2.959242466385894,-0.02937627005400234,-0.04071891938726557,ok
gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520_e8,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/runs/20260531_semantic_resume_softgate_e8_gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/configs/20260531_semantic_resume_softgate_e8/gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520.yaml,-0.0435017485,-0.4131062691,-0.0016532,0.4903545601,-0.033508352860825985,-0.5419614385187663,-6.714419707055689,-0.03837661412087168,-0.05579107247294757,-0.0435017485,-0.4131062691,-0.0016532,0.4903545601,-0.033508352860825985,-0.5419614385187663,-6.714419707055689,-0.03837661412087168,-0.05579107247294757,ok
gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520_e10,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/runs/20260531_semantic_resume_softgate_e10_gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260531_semantic_epoch_resume_sweep/configs/20260531_semantic_resume_softgate_e10/gpt_final_upgrade_h48_proto2_topk005_softgate_train20260520.yaml,-0.0396143262,-0.3824537341,0.0001613041,0.4923890728,-0.025627665890656792,-0.44830541156044146,-4.408867009693892,-0.035613751844560726,-0.047910385502778374,-0.0396143262,-0.3824537341,0.0001613041,0.4923890728,-0.025627665890656792,-0.44830541156044146,-4.408867009693892,-0.035613751844560726,-0.047910385502778374,ok
